 ,X,Y
1,-0.016,0.712
2,0.299,5.105
3,0.059,0.649
4,5.172,2.834
5,0.177,0.543
6,4.889,2.244
7,0.295,0.390
8,5.656,1.759
9,0.413,0.248
10,6.306,1.051
11,0.449,0.000
12,6.648,0.118
13,0.461,-0.248
14,6.211,-1.500
15,0.472,-0.472
16,5.987,-1.937
17,0.354,-0.649
18,5.219,-2.633
19,0.248,-0.720
20,1.559,-3.330
21,0.094,-0.779
22,1.571,-3.909
23,0.000,-0.756
24,-3.932,-3.389
25,-0.094,-0.697
26,-3.330,-4.416
27,-0.260,-0.590
28,-4.239,-4.227
29,-0.390,-0.484
30,-5.822,-2.385
31,-0.472,-0.283
32,-6.400,-1.299
33,-0.496,-0.071
34,-6.684,-0.661
35,-0.508,0.189
36,-6.412,0.685
37,-0.449,0.401
38,-5.574,1.878
39,-0.354,0.531
40,-4.109,3.826
41,-0.177,0.638
42,-3.236,4.334
