 ,X,Y
1,0.000,0.730
2,-0.010,3.322
3,0.140,0.700
4,0.780,3.362
5,0.250,0.670
6,1.941,3.192
7,0.360,0.520
8,2.532,2.902
9,0.420,0.360
10,3.042,2.452
11,0.480,0.220
12,3.632,2.151
13,0.510,0.090
14,4.173,1.051
15,0.500,-0.080
16,4.173,-0.090
17,0.480,-0.230
18,3.932,-0.460
19,0.450,-0.360
20,2.982,-2.361
21,0.340,-0.380
22,2.241,-2.522
23,0.240,-0.470
24,2.161,-2.612
25,0.160,-0.500
26,1.371,-2.412
27,0.080,-0.560
28,0.520,-2.522
29,-0.070,-0.510
30,-0.620,-3.242
31,-0.200,-0.440
32,-2.151,-2.762
33,-0.290,-0.370
34,-1.391,-3.252
35,-0.410,-0.300
36,-3.392,-1.711
37,-0.490,-0.210
38,-3.622,-1.451
39,-0.510,-0.060
40,-3.832,0.790
41,-0.510,0.100
42,-3.792,1.001
43,-0.470,0.260
44,-3.392,2.331
45,-0.430,0.420
46,-2.912,2.662
47,-0.340,0.580
48,-2.522,2.712
49,-0.240,0.700
50,-1.271,3.112
51,-0.090,0.770
52,-0.800,3.342
