 ,X,Y
1,-0.078,0.557
2,0.658,4.003
3,0.067,0.468
4,2.353,3.389
5,0.190,0.379
6,3.334,2.497
7,0.256,0.223
8,4.058,1.606
9,0.312,0.078
10,3.869,0.368
11,0.301,-0.045
12,3.690,-0.368
13,0.290,-0.149
14,2.988,-1.003
15,0.290,-0.312
16,2.995,-0.892
17,0.230,-0.364
18,2.051,-2.460
19,0.126,-0.416
20,1.018,-2.639
21,0.059,-0.461
22,-0.149,-2.780
23,-0.015,-0.476
24,0.297,-2.505
25,-0.082,-0.498
26,0.067,-2.668
27,-0.178,-0.446
28,-1.650,-2.624
29,-0.238,-0.387
30,-2.431,-1.888
31,-0.320,-0.290
32,-3.107,-1.672
33,-0.372,-0.171
34,-3.850,-0.966
35,-0.379,-0.015
36,-4.348,-0.238
37,-0.401,0.126
38,-4.333,0.357
39,-0.394,0.297
40,-3.449,1.977
41,-0.342,0.446
42,-2.877,2.535
43,-0.238,0.543
44,-1.435,3.456
