 ,X,Y
1,0.100,0.653
2,0.136,4.065
3,0.227,0.599
4,2.241,3.393
5,0.318,0.454
6,3.176,2.912
7,0.381,0.318
8,3.711,1.923
9,0.454,0.163
10,4.319,0.708
11,0.426,-0.009
12,4.373,-0.272
13,0.408,-0.209
14,4.092,-0.935
15,0.426,-0.327
16,3.339,-1.769
17,0.372,-0.426
18,2.223,-2.667
19,0.263,-0.481
20,2.114,-2.413
21,0.163,-0.490
22,0.118,-3.339
23,0.064,-0.499
24,-0.345,-3.030
25,-0.054,-0.463
26,-1.071,-3.176
27,-0.136,-0.454
28,-2.549,-2.513
29,-0.200,-0.372
30,-3.030,-1.542
31,-0.272,-0.245
32,-3.947,-0.454
33,-0.318,-0.109
34,-4.201,-0.780
35,-0.299,0.054
36,-4.301,0.653
37,-0.254,0.227
38,-3.974,1.325
39,-0.218,0.408
40,-3.085,2.649
41,-0.091,0.535
42,-1.669,3.602
43,0.027,0.653
44,-2.023,3.357
