Localidad,Imagen,Planta,Flor,PC1S,PC2S,PC3S,PC4S,PC5S,PC6S,PC7S,PC8S,PC9S,PC10S,PC1A,PC2A,PC3A,PC4A,PC5A,PC6A,PC7A,PC8A,PC9A,PC10A
CC021,CC021_P08_F008a_181127_SEF_pm.mat,8,8,-65.32438153,23.31274995,8.621152449,3.708733415,3.064258707,-5.367183271,-3.917140779,9.022680057,0.940896913,-2.935430117,5030.430622,2681.345356,-1146.158606,915.7522452,-1017.053095,-657.1932262,286.5201492,-430.428124,-338.3849718,677.937955
CC021,CC021_P08_F008b_181127_SEF_pm.mat,8,8,-91.07860099,20.05099504,1.906949804,10.01011825,-4.586998535,-2.363879497,-4.144192109,2.613845631,0.22857105,-2.445632752,327.8580429,4230.800365,-896.6225707,1764.660481,-8.625999593,-1803.413214,819.2979564,22.40257364,-274.0523322,438.7123479
CC021,CC021_P08_F008c_181127_SEF_pm.mat,8,8,-75.25186285,2.938073165,-8.553069842,1.865780363,-2.340847711,-5.180760849,1.904504886,8.252341155,4.076773368,-4.219221636,2430.874076,1495.335945,-1243.112969,1777.432979,-647.7648671,-1593.644356,-1089.661728,868.9135116,504.4561427,-183.8092525
CC021,CC021_P08_F009a_181127_SEF_pm.mat,8,9,-62.61655649,-4.20776839,-19.59207353,20.1278219,-3.766829052,-8.195662094,4.402676661,-0.902918467,-5.161093597,-0.772373151,9099.34119,2444.293437,-2761.786927,1482.156376,1504.984244,470.0159974,810.533723,-1056.739617,-707.383809,-606.7785813
CC021,CC021_P08_F009b_181127_SEF_pm.mat,8,9,-56.41408628,0.988098407,-11.63738962,3.266884355,0.543669778,-7.980228846,2.863104117,3.094527305,-3.852651692,-1.736212119,6035.076915,747.9820729,-4261.138947,-181.7467821,2545.005489,264.8076619,-1091.753214,18.33458966,559.417741,126.1141529
CC021,CC021_P08_F009c_181127_SEF_pm.mat,8,9,-21.33102964,-5.334468778,-4.415161047,10.18557033,-15.70335951,-6.330652992,-1.297281863,5.371502458,-0.72101667,1.104410035,7771.691012,1594.930655,-1922.990884,1502.393976,-2666.194381,-392.3223361,845.2940751,-871.1796863,-119.0731478,760.3520767
CC022,CC022_P01_F010a_190125_SEF_pm.mat,1,10,28.15759732,12.35284935,13.05596279,14.47307013,-9.538616685,0.040316477,-1.196762377,2.805672715,-4.366244691,-3.332206148,15076.24649,-4969.173556,-3275.469456,-922.8938718,465.0381834,697.0367563,-46.39305954,-95.02162165,1006.611405,909.6287657
CC022,CC022_P01_F010b_190125_SEF_pm.mat,1,10,-1.041007732,-8.949245349,7.744091455,17.10069859,-1.816152756,-5.885576364,0.541339679,2.629906693,-2.372413906,-0.664434931,18866.90906,-3965.435063,-1051.64877,1180.532818,-466.4011631,1639.155567,159.7848551,444.4074325,-5.19262771,235.7540887
CC022,CC022_P01_F010c_190125_SEF_pm.mat,1,10,18.06863453,-20.99845855,-7.632995846,23.21449731,-9.31205212,-17.70792924,0.281665662,4.143799366,0.27631367,3.356177009,18167.791,-3799.372119,-1344.447271,1073.564385,-1302.99043,1114.698112,-210.6120837,-114.5587229,-177.0346032,355.7562303
CC022,CC022_P01_F011a_190125_SEF_pm.mat,1,11,-51.96378526,-12.34968661,-14.52714028,4.774082005,-3.160586919,-3.487943741,-0.687422902,4.179838873,-0.038388782,-2.585493653,19982.84862,-3940.179057,-1356.610621,1042.325944,-446.0839107,983.6603319,-393.1753311,276.7094628,416.2384952,-480.6384888
CC022,CC022_P01_F011b_190125_SEF_pm.mat,1,11,-14.98124764,-17.11019783,1.971601698,6.907282476,15.06189758,-10.4743306,-3.587955558,-0.405380096,1.384328128,-0.093760236,10823.06851,-4565.80509,-3516.102689,-2491.477563,-303.0584907,-648.3283992,742.7811744,240.3216701,452.7291697,550.8368984
CC022,CC022_P01_F011c_190125_SEF_pm.mat,1,11,-38.81812084,-7.854848859,7.247741738,15.03568029,-21.81794244,0.387627596,-7.101125079,-2.769324319,-7.274064939,2.464785913,14186.72543,-3184.159674,-1195.452919,1350.83157,37.99633769,823.2095409,-1433.909664,-241.8588446,1160.133676,954.8742475
CC022,CC022_P01_F012a_190125_SEF_pm.mat,1,12,90.7863015,-3.627441173,-26.46512676,5.672025336,-18.5662374,-6.476713109,6.449150346,0.838860542,1.780706465,3.199169315,18100.6732,-3461.160585,-3472.130511,-598.2446891,-185.3953605,1568.632105,-359.6491791,-884.0975498,411.5160266,364.2414288
CC022,CC022_P01_F012b_190125_SEF_pm.mat,1,12,80.51413924,1.425925859,-6.313558288,9.070510354,3.553756442,-4.157034336,4.293082762,-0.167388245,2.285317074,2.218000673,17153.26163,-3877.293738,-2373.841127,-664.2178405,-77.0012073,793.600139,501.403095,-494.151838,359.9428078,322.1590759
CC022,CC022_P01_F012c_190125_SEF_pm.mat,1,12,43.38032936,-15.06027637,-14.99332221,8.501970081,-6.623428528,-4.541391171,-0.665942451,-2.030024792,-3.582366279,-1.236590779,16629.04803,-4096.897259,-2569.16382,-1130.064899,-33.79225162,922.8028719,637.2591031,-850.5464467,521.4658712,527.7775209
CC022,CC022_P03_F004a_181124_SEF_pm.mat,3,4,58.03788518,3.415013486,-3.781779575,-11.69994927,-3.232947328,13.28084623,-2.254072887,-3.990340943,1.628600415,0.35226974,12685.99098,-1583.350503,-3091.138543,44.27160954,-689.262424,-32.4100022,497.2973096,-590.9338963,1246.67832,453.4987034
CC022,CC022_P03_F004b_181124_SEF_pm.mat,3,4,69.74946333,12.0877763,-16.7595789,7.403218074,9.430595645,13.16817277,3.26806965,-0.953000894,-1.750309838,0.383495395,13439.62581,-2241.480901,-2722.451441,309.5785715,-1401.391308,-255.4323675,276.3569513,125.6179843,409.8442083,-327.4586242
CC022,CC022_P03_F004c_181124_SEF_pm.mat,3,4,76.0947668,-8.254306269,-2.406911889,16.90771306,16.4131326,2.274484859,-7.160926457,4.263500302,4.118188708,1.532350503,14315.01147,-1872.798822,-4624.352696,1132.270594,-263.2024879,792.5486267,391.7058237,-1121.631997,-363.2002681,738.1200391
CC022,CC022_P03_F005a_181124_SEF_pm.mat,3,5,86.76716063,2.953052113,-6.514846378,-1.862001808,-4.727478276,5.107254227,-3.590054958,5.680124454,-3.833647426,4.089755538,14787.92382,-2160.521853,-2904.780422,1257.482912,756.9658627,163.8873195,302.9075561,-762.0101182,201.3711904,766.7756865
CC022,CC022_P03_F005b_181124_SEF_pm.mat,3,5,40.59590431,6.514018496,11.45703949,7.158834217,-0.516391286,5.455483272,-2.318087348,-1.977720498,2.309321655,-0.544246809,15247.27045,-1118.657826,-3546.207186,829.7428694,1210.639487,1449.787874,297.3232368,-921.3910058,488.3134567,838.9002571
CC022,CC022_P03_F005c_181124_SEF_pm.mat,3,5,60.97932429,8.342934996,-7.190158446,2.28274361,2.832636956,15.17935888,2.957217963,-0.476715629,-0.05633152,3.204037845,15065.16748,-809.8196435,-2230.859319,1795.769294,-885.3027631,432.7711721,505.7526254,-1354.376731,633.6403817,524.2966162
CC022,CC022_P03_F006a_181124_SEF_pm.mat,3,6,59.85667213,-3.794780664,9.12910944,11.96300606,-2.171314787,3.444875876,-2.560435988,-1.841965652,0.674513709,2.804863714,17855.23312,-2053.861149,-1931.257608,1421.615578,-1256.459872,1058.301919,842.4334505,-620.4179233,440.9207263,688.7108923
CC022,CC022_P03_F006b_181124_SEF_pm.mat,3,6,64.80575203,1.703599477,-8.638899832,-12.74232528,4.3043387,0.821742502,0.61859475,5.609382621,-0.231193692,3.80038053,12459.98694,-4560.636682,-5179.450415,1037.859826,-159.6294104,-422.1835053,-1197.062275,40.47182321,1338.190581,940.3044303
CC022,CC022_P03_F006c_181124_SEF_pm.mat,3,6,115.3635546,1.627920593,-3.805655752,12.9988084,10.08010887,14.10165286,-0.602165196,0.503595082,0.384690543,5.070901512,15593.38495,-1837.047446,-3892.474121,844.4846849,735.6413848,900.338099,-572.7393766,-1014.602597,742.598938,720.7666321
CC022,CC022_P04_F007a_181123_SEF_pm.mat,4,7,92.04617064,12.7354469,16.52688647,27.94546955,4.221781187,6.145482854,-3.612893375,-0.230686538,-2.978505421,0.987333064,17705.60354,-2104.142033,-2689.001565,1910.997247,-310.6182814,1153.207124,-363.0379245,51.38833408,1054.35529,-436.3403816
CC022,CC022_P04_F007b_181123_SEF_pm.mat,4,7,122.3775825,21.266401,9.190123677,3.251690429,-10.38082821,-6.062330992,-15.10389051,-0.235835228,-6.079111024,2.199260351,12464.01237,-1214.63144,-1859.919416,1074.576943,-204.8781892,-606.3963681,454.0800736,-23.71217764,904.6555123,762.9282
CC022,CC022_P04_F007c_181123_SEF_pm.mat,4,7,71.91574955,10.41135673,-10.31295996,10.05169542,11.22977782,-3.884125526,-0.360202569,7.775254037,-6.280096195,-1.390166059,14723.3528,-747.0499322,-1625.377496,371.4694636,-431.3918518,111.7222115,746.5721546,-279.9902732,417.4519365,359.7706953
CC022,CC022_P04_F008a_181123_SEF_pm.mat,4,8,73.39629109,46.53905228,0.049479547,10.45376264,9.332425091,-8.99874182,-0.071709627,8.008466083,-5.10869031,2.435896074,12195.22422,-1855.805678,-3261.972512,875.9325486,850.7234104,-640.1625857,-243.471284,507.4897655,757.8831032,-394.905984
