 ,X,Y
1,0.030,0.928
2,0.164,4.662
3,0.213,0.867
4,4.154,1.353
5,0.395,0.623
6,4.422,0.976
7,0.408,0.356
8,5.456,0.842
9,0.481,0.076
10,5.858,-0.143
11,0.395,-0.192
12,5.067,-1.518
13,0.335,-0.350
14,4.483,-1.688
15,0.274,-0.447
16,1.648,-3.501
17,0.091,-0.471
18,2.172,-2.941
19,0.006,-0.557
20,0.566,-2.831
21,-0.103,-0.544
22,0.310,-2.953
23,-0.201,-0.496
24,-2.123,-2.430
25,-0.286,-0.411
26,-3.862,-1.445
27,-0.347,-0.228
28,-4.799,-0.727
29,-0.395,-0.070
30,-5.748,1.414
31,-0.371,0.210
32,-4.970,2.339
33,-0.371,0.465
34,-3.534,3.799
35,-0.213,0.660
36,-3.230,3.276
37,-0.103,0.806
38,-2.281,3.738
