 ,X,Y
1,0.037,0.579
2,-0.592,2.654
3,0.118,0.567
4,0.766,2.866
5,0.162,0.542
6,1.713,2.299
7,0.237,0.498
8,1.875,2.249
9,0.311,0.405
10,2.243,1.545
11,0.343,0.262
12,2.236,1.483
13,0.374,0.143
14,2.299,0.754
15,0.324,0.006
16,2.286,0.430
17,0.311,-0.075
18,3.052,-0.754
19,0.336,-0.199
20,3.009,-1.071
21,0.299,-0.336
22,2.785,-1.009
23,0.280,-0.405
24,2.791,-1.096
25,0.230,-0.498
26,2.243,-1.495
27,0.156,-0.567
28,1.726,-1.969
29,0.100,-0.617
30,1.389,-1.962
31,0.037,-0.623
32,0.853,-2.155
33,-0.081,-0.548
34,-0.617,-2.268
35,-0.137,-0.554
36,-1.726,-1.688
37,-0.206,-0.511
38,-2.037,-1.190
39,-0.249,-0.405
40,-2.243,-1.321
41,-0.318,-0.318
42,-2.841,-0.723
43,-0.287,-0.187
44,-2.735,-1.121
45,-0.287,-0.093
46,-3.071,-0.293
47,-0.287,0.025
48,-2.859,-0.156
49,-0.280,0.156
50,-3.003,0.511
51,-0.243,0.280
52,-2.342,1.495
53,-0.212,0.424
54,-2.261,1.582
55,-0.162,0.517
56,-2.025,2.018
57,-0.056,0.579
58,-0.847,2.697
