 ,X,Y
1,0.031,0.800
2,1.995,3.315
3,0.125,0.727
4,3.616,2.754
5,0.229,0.613
6,3.793,1.351
7,0.281,0.499
8,3.886,2.140
9,0.384,0.384
10,4.374,1.143
11,0.405,0.260
12,5.029,0.208
13,0.457,0.114
14,4.707,0.073
15,0.426,-0.083
16,4.707,-0.260
17,0.395,-0.156
18,4.510,-0.759
19,0.395,-0.270
20,4.406,-0.998
21,0.364,-0.384
22,4.790,-1.496
23,0.291,-0.488
24,3.980,-1.091
25,0.218,-0.623
26,3.367,-0.946
27,0.052,-0.665
28,3.200,-0.914
29,-0.031,-0.665
30,0.665,-3.751
31,-0.145,-0.655
32,-2.941,-2.587
33,-0.260,-0.571
34,-2.733,-2.941
35,-0.333,-0.509
36,-3.793,-1.070
37,-0.353,-0.395
38,-4.925,-0.707
39,-0.374,-0.301
40,-4.738,-0.218
41,-0.436,-0.156
42,-4.863,0.000
43,-0.405,-0.010
44,-4.665,0.062
45,-0.426,0.145
46,-4.219,1.216
47,-0.353,0.333
48,-4.302,1.507
49,-0.343,0.447
50,-4.042,1.299
51,-0.312,0.603
52,-4.115,1.226
53,-0.270,0.759
54,-3.221,1.974
