 ,X,Y
1,0.051,0.690
2,0.106,4.361
3,0.143,0.635
4,1.376,4.131
5,0.179,0.552
6,3.869,2.429
7,0.207,0.442
8,4.228,1.877
9,0.244,0.294
10,4.900,1.481
11,0.271,0.129
12,4.863,1.546
13,0.345,-0.046
14,5.074,0.644
15,0.345,-0.156
16,4.366,0.423
17,0.382,-0.248
18,4.081,-1.739
19,0.354,-0.396
20,3.961,-2.043
21,0.336,-0.515
22,3.593,-2.586
23,0.244,-0.589
24,3.740,-1.785
25,0.152,-0.626
26,2.756,-2.291
27,0.051,-0.635
28,1.909,-3.073
29,-0.078,-0.589
30,-3.013,-2.392
31,-0.161,-0.524
32,-1.836,-2.871
33,-0.216,-0.460
34,-3.777,-1.481
35,-0.271,-0.386
36,-4.081,-1.233
37,-0.299,-0.276
38,-4.274,-0.626
39,-0.290,-0.138
40,-4.311,-0.294
41,-0.244,-0.009
42,-4.320,-0.138
43,-0.189,0.147
44,-4.320,1.527
45,-0.152,0.267
46,-4.311,1.895
47,-0.106,0.442
48,-3.998,2.383
49,-0.078,0.543
50,-3.556,2.972
51,-0.023,0.616
52,-0.630,4.674
