 ,X,Y
1,0.013,0.608
2,0.659,5.308
3,0.114,0.532
4,2.318,4.257
5,0.190,0.443
6,2.584,4.675
7,0.241,0.342
8,4.117,3.838
9,0.317,0.203
10,5.929,2.306
11,0.342,0.063
12,6.423,1.584
13,0.418,-0.076
14,6.664,-0.595
15,0.380,-0.215
16,6.131,-0.570
17,0.367,-0.342
18,5.967,-0.697
19,0.291,-0.401
20,4.776,-1.997
21,0.224,-0.443
22,4.447,-2.361
23,0.156,-0.452
24,3.366,-3.712
25,0.055,-0.469
26,3.433,-4.151
27,-0.013,-0.490
28,-3.914,-1.731
29,-0.055,-0.439
30,-4.438,-1.807
31,-0.131,-0.372
32,-5.333,-0.574
33,-0.182,-0.296
34,-4.945,-1.588
35,-0.215,-0.169
36,-4.531,-1.394
37,-0.266,-0.068
38,-5.840,-0.633
39,-0.274,0.042
40,-6.279,0.414
41,-0.220,0.194
42,-5.743,1.917
43,-0.177,0.338
44,-5.219,2.838
45,-0.084,0.405
46,-2.686,4.518
47,-0.042,0.532
48,-1.030,4.941
