 ,X,Y
1,-0.010,0.637
2,-0.134,4.632
3,0.082,0.616
4,1.602,3.810
5,0.236,0.565
6,2.003,3.307
7,0.318,0.472
8,2.752,3.204
9,0.431,0.370
10,4.005,1.294
11,0.503,0.257
12,3.923,0.894
13,0.534,0.103
14,4.005,0.955
15,0.596,-0.062
16,3.779,-0.339
17,0.596,-0.246
18,3.923,-0.370
19,0.544,-0.370
20,3.307,-0.883
21,0.493,-0.462
22,3.132,-1.582
23,0.411,-0.472
24,2.249,-2.064
25,0.318,-0.493
26,2.075,-2.383
27,0.226,-0.493
28,1.499,-2.239
29,0.051,-0.514
30,1.027,-2.311
31,-0.021,-0.503
32,-1.222,-2.116
33,-0.103,-0.503
34,-1.397,-2.136
35,-0.175,-0.534
36,-1.633,-2.311
37,-0.267,-0.493
38,-2.958,-1.469
39,-0.380,-0.452
40,-3.122,-1.263
41,-0.431,-0.329
42,-3.286,-1.284
43,-0.503,-0.185
44,-3.266,-1.017
45,-0.575,-0.021
46,-3.595,0.195
47,-0.575,0.113
48,-3.800,0.021
49,-0.524,0.277
50,-3.954,0.616
51,-0.462,0.421
52,-3.276,2.691
53,-0.380,0.555
54,-2.814,2.855
55,-0.298,0.668
56,-2.218,3.646
57,-0.175,0.719
58,-0.976,4.159
