 ,X,Y
1,0.039,0.614
2,0.224,4.101
3,0.146,0.575
4,2.269,3.253
5,0.253,0.497
6,3.370,2.104
7,0.341,0.390
8,3.487,1.821
9,0.438,0.312
10,3.750,0.935
11,0.477,0.195
12,3.769,-0.039
13,0.536,0.049
14,3.701,-0.526
15,0.545,-0.136
16,3.653,-1.393
17,0.477,-0.302
18,3.156,-1.373
19,0.360,-0.360
20,2.649,-1.617
21,0.273,-0.409
22,2.211,-1.773
23,0.175,-0.419
24,1.412,-1.938
25,0.039,-0.477
26,1.042,-2.026
27,-0.088,-0.497
28,0.175,-2.036
29,-0.214,-0.487
30,-0.896,-1.860
31,-0.312,-0.438
32,-1.266,-1.831
33,-0.419,-0.419
34,-2.464,-1.218
35,-0.458,-0.341
36,-2.484,-1.675
37,-0.506,-0.263
38,-2.620,-1.568
39,-0.536,-0.136
40,-3.205,-0.477
41,-0.536,0.078
42,-3.477,0.058
43,-0.536,0.224
44,-3.312,1.081
45,-0.448,0.370
46,-3.136,1.977
47,-0.380,0.497
48,-2.737,2.688
49,-0.263,0.584
50,-2.688,2.620
51,-0.224,0.662
52,-1.646,3.604
53,-0.097,0.721
54,-1.091,3.692
