 ,X,Y
1,-0.163,0.867
2,-0.013,4.337
3,-0.025,0.792
4,1.684,4.349
5,0.050,0.704
6,3.067,3.608
7,0.151,0.541
8,3.947,2.954
9,0.201,0.402
10,4.927,1.446
11,0.327,0.214
12,5.129,1.307
13,0.390,0.063
14,4.777,-0.377
15,0.402,-0.075
16,4.387,-0.390
17,0.365,-0.226
18,3.721,-1.081
19,0.306,-0.344
20,3.230,-1.659
21,0.281,-0.453
22,2.770,-2.212
23,0.214,-0.511
24,2.451,-1.894
25,0.122,-0.553
26,1.504,-2.899
27,0.029,-0.545
28,0.247,-3.050
29,-0.071,-0.503
30,-1.588,-2.992
31,-0.197,-0.494
32,-2.828,-2.464
33,-0.247,-0.385
34,-3.256,-2.179
35,-0.339,-0.293
36,-3.884,-1.642
37,-0.419,-0.184
38,-4.140,-1.718
39,-0.453,-0.059
40,-4.559,-0.268
41,-0.461,0.117
42,-4.927,-0.092
43,-0.444,0.302
44,-5.212,1.534
45,-0.344,0.469
46,-3.846,2.983
47,-0.243,0.629
48,-3.000,3.453
49,-0.201,0.779
50,-1.735,4.249
