 ,X,Y
1,0.040,0.571
2,0.170,3.719
3,0.150,0.521
4,1.724,2.596
5,0.251,0.461
6,1.845,2.586
7,0.321,0.391
8,2.236,2.276
9,0.351,0.251
10,2.757,1.373
11,0.401,0.160
12,2.927,1.353
13,0.411,0.030
14,3.348,0.712
15,0.431,-0.080
16,3.128,0.000
17,0.401,-0.231
18,3.799,-0.060
19,0.431,-0.321
20,2.767,-1.754
21,0.371,-0.461
22,3.038,-1.494
23,0.291,-0.541
24,2.907,-1.063
25,0.190,-0.551
26,2.536,-1.764
27,0.040,-0.541
28,0.361,-2.977
29,-0.160,-0.471
30,-2.767,-2.005
31,-0.281,-0.451
32,-3.068,-1.504
33,-0.331,-0.361
34,-2.947,-1.604
35,-0.411,-0.190
36,-3.499,0.491
37,-0.421,0.000
38,-3.489,0.802
39,-0.441,0.110
40,-3.619,0.431
41,-0.421,0.241
42,-3.579,0.672
43,-0.321,0.331
44,-2.586,2.386
45,-0.221,0.481
46,-1.915,2.546
47,-0.130,0.581
48,-2.236,2.326
49,-0.063,0.598
50,-1.534,2.997
