 ,X,Y
1,0.040,0.557
2,0.317,2.224
3,0.136,0.500
4,1.193,2.443
5,0.183,0.405
6,1.669,1.986
7,0.260,0.319
8,2.279,1.738
9,0.317,0.195
10,2.688,1.176
11,0.345,0.071
12,3.183,0.395
13,0.269,-0.062
14,3.136,-0.443
15,0.264,-0.193
16,2.843,-1.207
17,0.221,-0.293
18,1.636,-2.050
19,0.136,-0.343
20,0.900,-1.964
21,0.079,-0.371
22,0.450,-2.107
23,-0.007,-0.386
24,-0.479,-2.114
25,-0.100,-0.350
26,-1.507,-1.764
27,-0.179,-0.293
28,-2.100,-1.379
29,-0.271,-0.236
30,-2.929,-1.271
31,-0.300,-0.107
32,-3.350,-0.143
33,-0.321,0.057
34,-3.221,1.114
35,-0.321,0.214
36,-2.571,1.350
37,-0.271,0.357
38,-1.864,2.150
39,-0.186,0.457
40,-1.393,2.486
41,-0.057,0.536
42,-0.686,2.550
