"Localidad","Planta","Areola","X_1","Y_1","X_2","Y_2","Num_esp","long_esp","dist_are","angulo","angulo_corr","posicion"
"CC020","P01","A01",0,-0.502,-0.03,-2.95,"1",2.44818381662816,0.502,-90.0000129943923,180.000012994392,"G"
"CC020","P01","A01",0.075,-0.487,0.597,-2.606,"2",2.18234850562416,0.492741311440395,-81.2450088908449,171.245008890845,"G"
"CC020","P01","A01",0.142,-0.45,1.104,-2.756,"3",2.49861561669657,0.471872864233577,-72.486630090061,162.486630090061,"F"
"CC020","P01","A01",0.269,-0.382,1.448,-2.248,"4",2.20726006623597,0.467209802979347,-54.8472424868406,144.847242486841,"F"
"CC020","P01","A01",0.298,-0.211,2.104,-1.591,"5",2.27289155042646,0.365136960605195,-35.3005479378628,125.300547937863,"E"
"CC020","P01","A01",0.298,-0.069,3.224,-0.763,"6",3.00717674904552,0.305883964927879,-13.036737592977,103.036737592977,"D"
"CC020","P01","A01",0.321,0.043,3.381,-0.069,"7",3.06204898719795,0.323867256758074,7.62971635695833,82.3702836430417,"D"
"CC020","P01","A01",0.343,0.215,3.231,0.326,"8",2.89013234991064,0.40481353732305,32.0804019100636,57.9195980899364,"C"
"CC020","P01","A01",0.351,0.349,2.694,1.461,"9",2.59349050509155,0.494976767131549,44.8363046918263,45.1636953081737,"C"
"CC020","P01","A01",0.291,0.483,1.664,1.715,"10",1.84470946221892,0.563888286808655,58.9316977504862,31.0683022495138,"B"
"CC020","P01","A01",0.187,0.558,0.515,2.117,"11",1.59313056589848,0.588500637212909,71.47269868633,18.52730131367,"B"
"CC020","P01","A01",0.082,0.588,0.522,2.349,"12",1.81513663397553,0.593690154878789,82.0609857063408,7.93901429365917,"A"
"CC020","P01","A01",0.007,0.647,0.187,2.528,"13",1.88959281328015,0.647037865970764,89.3801445761801,0.619855423819857,"A"
"CC020","P01","A01",-0.067,0.655,-0.612,2.438,"14",1.86443396235962,0.658417800488413,95.8404898859197,354.15951011408,"A"
"CC020","P01","A01",-0.164,0.61,-0.709,2.543,"15",2.00836102332225,0.63166130164828,105.048290799375,344.951709200625,"L"
"CC020","P01","A01",-0.231,0.513,-1.321,1.938,"16",1.79408054445724,0.562609989246547,114.241692222911,335.758307777089,"L"
"CC020","P01","A01",-0.291,0.423,-2.351,1.797,"17",2.47618173807982,0.513429644644717,124.52578315107,325.47421684893,"L"
"CC020","P01","A01",-0.313,0.312,-3.007,1.162,"18",2.82491345000161,0.441942303926655,135.091692673818,314.908307326182,"K"
"CC020","P01","A01",-0.321,0.177,-3.351,0.767,"19",3.08690783795046,0.366565137458542,151.127597646082,298.872402353918,"K"
"CC020","P01","A01",-0.291,0.028,-3.336,-0.509,"20",3.091988680445,0.292343975480939,174.503948950103,275.496051049897,"J"
"CC020","P01","A01",-0.254,-0.106,-2.873,-1.188,"21",2.83370517167894,0.275230812228573,-157.348131066165,247.348131066165,"I"
"CC020","P01","A01",-0.246,-0.278,-2.552,-1.666,"22",2.69150143971724,0.371214223865412,-131.505380059772,221.505380059772,"H"
