,Id,n_cen_spin
228,CC025_P03_A7,2
229,CC025_P03_A8,2
230,CC025_P03_A9,2
231,CC025_P04_A1,2
232,CC025_P04_A10,2
233,CC025_P04_A2,2
234,CC025_P04_A3,2
235,CC025_P04_A4,2
236,CC025_P04_A5,2
237,CC025_P04_A6,2
238,CC025_P04_A7,2
239,CC025_P04_A8,2
240,CC025_P04_A9,2
241,CC025_P05_A1,2
242,CC025_P05_A10,2
243,CC025_P05_A2,2
244,CC025_P05_A3,2
245,CC025_P05_A4,2
246,CC025_P05_A5,2
247,CC025_P05_A6,2
248,CC025_P05_A7,2
249,CC025_P05_A8,2
250,CC025_P05_A9,2
251,CC027_P01_A1,2
252,CC027_P01_A10,2
253,CC027_P01_A2,2
254,CC027_P01_A3,2
255,CC027_P01_A4,2
256,CC027_P01_A5,2
257,CC027_P01_A6,2
258,CC027_P01_A7,2
259,CC027_P01_A8,2
260,CC027_P01_A9,2
261,CC027_P02_A1,2
262,CC027_P02_A10,2
263,CC027_P02_A2,2
264,CC027_P02_A3,2
265,CC027_P02_A4,2
266,CC027_P02_A5,2
267,CC027_P02_A6,2
268,CC027_P02_A7,2
269,CC027_P02_A8,2
270,CC027_P02_A9,2
271,CC027_P03_A1,2
272,CC027_P03_A10,2
273,CC027_P03_A2,2
274,CC027_P03_A3,2
275,CC027_P03_A4,2
276,CC027_P03_A5,2
277,CC027_P03_A6,2
278,CC027_P03_A7,2
279,CC027_P03_A8,2
280,CC027_P03_A9,2
281,CC027_P04_A1,2
282,CC027_P04_A10,2
283,CC027_P04_A2,2
284,CC027_P04_A3,2
285,CC027_P04_A4,2
286,CC027_P04_A5,2
287,CC027_P04_A6,2
288,CC027_P04_A7,2
289,CC027_P04_A8,2
290,CC027_P04_A9,2
291,CC027_P05_A1,2
292,CC027_P05_A10,2
293,CC027_P05_A2,2
294,CC027_P05_A3,2
295,CC027_P05_A4,2
296,CC027_P05_A5,2
297,CC027_P05_A6,2
298,CC027_P05_A7,2
299,CC027_P05_A8,2
300,CC027_P05_A9,2
301,CC028_P01_A1,2
302,CC028_P01_A10,2
303,CC028_P01_A2,2
304,CC028_P01_A3,2
305,CC028_P01_A4,2
306,CC028_P01_A5,2
307,CC028_P01_A6,2
308,CC028_P01_A7,2
309,CC028_P01_A8,2
310,CC028_P01_A9,2
311,CC028_P02_A1,2
312,CC028_P02_A10,2
313,CC028_P02_A2,2
314,CC028_P02_A3,2
315,CC028_P02_A4,2
316,CC028_P02_A5,2
317,CC028_P02_A6,2
318,CC028_P02_A7,2
319,CC028_P02_A8,2
320,CC028_P02_A9,2
321,CC028_P03_A1,2
322,CC028_P03_A10,2
323,CC028_P03_A2,2
324,CC028_P03_A3,2
325,CC028_P03_A4,2
326,CC028_P03_A5,2
327,CC028_P03_A6,2
328,CC028_P03_A7,2
329,CC028_P03_A8,2
330,CC028_P03_A9,2
331,CC028_P04_A1,2
332,CC028_P04_A10,2
333,CC028_P04_A2,2
334,CC028_P04_A3,2
335,CC028_P04_A4,2
336,CC028_P04_A5,2
337,CC028_P04_A6,2
338,CC028_P04_A7,2
339,CC028_P04_A8,2
340,CC028_P04_A9,2
341,CC028_P05_A1,2
342,CC028_P05_A10,2
343,CC028_P05_A2,2
344,CC028_P05_A3,2
345,CC028_P05_A4,2
346,CC028_P05_A5,2
347,CC028_P05_A6,2
348,CC028_P05_A7,2
349,CC028_P05_A8,2
350,CC028_P05_A9,2
351,CC029_P01_A1,1
352,CC029_P01_A10,1
353,CC029_P01_A2,1
354,CC029_P01_A3,1
355,CC029_P01_A4,1
356,CC029_P01_A5,1
357,CC029_P01_A6,1
358,CC029_P01_A7,1
359,CC029_P01_A8,1
360,CC029_P01_A9,1
361,CC029_P02_A1,2
362,CC029_P02_A10,2
363,CC029_P02_A2,2
364,CC029_P02_A3,2
365,CC029_P02_A4,2
366,CC029_P02_A5,2
367,CC029_P02_A6,2
368,CC029_P02_A7,2
369,CC029_P02_A8,2
370,CC029_P02_A9,2
371,CC029_P04_A1,2
372,CC029_P04_A10,2
373,CC029_P04_A2,2
374,CC029_P04_A3,2
375,CC029_P04_A4,2
376,CC029_P04_A5,2
377,CC029_P04_A6,2
378,CC029_P04_A7,2
379,CC029_P04_A8,2
380,CC029_P04_A9,2
381,CC029_P05_A1,2
382,CC029_P05_A10,2
383,CC029_P05_A2,2
384,CC029_P05_A3,2
385,CC029_P05_A4,2
386,CC029_P05_A5,2
387,CC029_P05_A6,2
388,CC029_P05_A7,2
389,CC029_P05_A8,2
390,CC029_P05_A9,2
391,CC029_P07_A1,1
392,CC029_P07_A10,2
393,CC029_P07_A2,2
394,CC029_P07_A3,1
395,CC029_P07_A4,2
396,CC029_P07_A5,1
397,CC029_P07_A6,2
398,CC029_P07_A7,2
399,CC029_P07_A8,2
400,CC029_P07_A9,2
401,CC030_P01_A1,2
402,CC030_P01_A10,2
403,CC030_P01_A2,2
404,CC030_P01_A3,2
405,CC030_P01_A4,2
406,CC030_P01_A5,2
407,CC030_P01_A6,2
408,CC030_P01_A7,2
409,CC030_P01_A8,2
410,CC030_P01_A9,2
411,CC030_P02_A1,2
412,CC030_P02_A10,2
413,CC030_P02_A2,2
414,CC030_P02_A3,2
415,CC030_P02_A4,2
416,CC030_P02_A5,2
417,CC030_P02_A6,2
418,CC030_P02_A7,2
419,CC030_P02_A8,2
420,CC030_P02_A9,2
421,CC030_P03_A1,2
422,CC030_P03_A10,2
423,CC030_P03_A2,2
424,CC030_P03_A3,2
425,CC030_P03_A4,2
426,CC030_P03_A5,2
427,CC030_P03_A6,2
428,CC030_P03_A7,2
429,CC030_P03_A8,2
430,CC030_P03_A9,2
431,CC030_P04_A1,2
432,CC030_P04_A10,2
433,CC030_P04_A2,2
434,CC030_P04_A3,2
435,CC030_P04_A4,2
436,CC030_P04_A5,2
437,CC030_P04_A6,2
438,CC030_P04_A7,2
439,CC030_P04_A8,2
440,CC030_P04_A9,2
441,CC030_P05_A1,1
442,CC030_P05_A10,2
443,CC030_P05_A2,1
444,CC030_P05_A3,2
445,CC030_P05_A4,2
446,CC030_P05_A5,1
447,CC030_P05_A6,1
448,CC030_P05_A7,2
449,CC030_P05_A8,2
