"Localidad","Planta","Areola","X_1","Y_1","X_2","Y_2","Num_esp","long_esp","dist_are","posicion"
"CC020","P03","A07",-0.044,0.181,5.508,1.719,"1",5.76108913314141,0.186271307506014,"sup"
"CC020","P03","A07",-0.015,-0.201,5.44,-3.06,"2",6.15880718970809,0.20155892438689,"inf"
"CC020","P03","A08",-0.008,0.182,6.13,2.626,"1",6.60667692565635,0.182175739328814,"sup"
"CC020","P03","A08",-0.041,-0.231,6.445,-3.045,"2",7.0701338035429,0.234610315203744,"inf"
"CC020","P03","A09",0.049,0.162,5.555,1.798,"1",5.74391260379195,0.169248338248858,"sup"
"CC020","P03","A09",0,-0.201,5.555,-3.208,"2",6.31665053647897,0.201,"inf"
"CC020","P03","A10",0.002,0.114,6.422,2.926,"1",7.00883328379267,0.114017542509914,"sup"
"CC020","P03","A10",-0.029,-0.234,7.913,-2.057,"2",8.14853931695736,0.235790160948247,"inf"
"CC020","P04","A01",-0.033,0.155,4.655,2.914,"1",5.4396162548474,0.158473972626422,"sup"
"CC020","P04","A01",-0.076,-0.22,5.214,-2.63,"2",5.81310588240056,0.232757384415618,"inf"
"CC020","P04","A02",-0.068,0.137,4.69,1.841,"1",5.0539271858625,0.152947703480634,"sup"
"CC020","P04","A02",-0.077,-0.207,4.231,-2.944,"2",5.10392329487817,0.220857420070053,"inf"
"CC020","P04","A03",-0.045,0.109,4.936,2.931,"1",5.72486200707056,0.117923704148063,"sup"
"CC020","P04","A03",-0.025,-0.208,5.163,-2.624,"2",5.72297125626191,0.209497016685202,"inf"
"CC020","P04","A04",0.043,0.179,5.948,2.871,"1",6.489675569703,0.18409236811992,"sup"
"CC020","P04","A04",0.022,-0.212,5.666,-3.837,"2",6.70785815294271,0.213138452654607,"inf"
"CC020","P04","A05",0.075,0.148,4.787,2.713,"1",5.36490158344028,0.165918654767931,"sup"
"CC020","P04","A05",-0.012,-0.223,4.59,-2.796,"2",5.2724503790932,0.223322636559754,"inf"
"CC020","P04","A06",-0.085,0.22,6.282,4.095,"1",7.45347663845537,0.235849528301415,"sup"
"CC020","P04","A06",-0.03,-0.253,6.392,-3.952,"2",7.41111901132346,0.254772447489912,"inf"
"CC020","P04","A07",0.068,0.173,6.643,3.56,"1",7.39610667851675,0.185884372662147,"sup"
"CC020","P04","A07",0.041,-0.291,6.734,-3.687,"2",7.5052691490712,0.293874122712429,"inf"
"CC020","P04","A08",-0.049,0.107,6.016,3.34,"1",6.8728825102718,0.117686022959398,"sup"
"CC020","P04","A08",0.022,-0.356,6.069,-2.69,"2",6.48180260421436,0.356679127508185,"inf"
"CC020","P04","A09",-0.089,0.25,6.63,4.27,"1",7.82977400695576,0.265369553641709,"sup"
"CC020","P04","A09",-0.1,-0.305,7.351,-3.359,"2",8.05259691031409,0.320975076914081,"inf"
"CC020","P04","A10",-0.01,0.19,5.678,2.236,"1",6.04478783746791,0.190262975904404,"sup"
"CC020","P04","A10",-0.048,-0.271,5.188,-2.28,"2",5.6081883884192,0.275218095335318,"inf"
"CC020","P05","A01",-0.083,-0.026,5.312,0.254,"1",5.40226110068738,0.0869770084562581,"sup"
"CC020","P05","A02",-0.024,0.039,5.347,0.479,"1",5.38899257746752,0.0457930125674212,"sup"
"CC020","P05","A03",-0.012,-0.004,6.2,0.324,"1",6.22065334189263,0.0126491106406735,"sup"
"CC020","P05","A04",-0.038,-0.026,6.043,1.391,"1",6.24391303590945,0.0460434577328854,"sup"
"CC020","P05","A05",-0.05,0.075,6.347,2.737,"1",6.92876994855508,0.0901387818865997,"sup"
"CC020","P05","A06",0.008,-0.018,4.977,1.408,"1",5.16956835722287,0.0196977156035922,"sup"
"CC020","P05","A07",0.033,0.012,6.697,0.799,"1",6.71031035049796,0.0351140997321589,"sup"
"CC020","P05","A08",-0.014,-0.04,6.822,1.695,"1",7.05273854612519,0.0423792402008342,"sup"
"CC020","P05","A09",0.004,-0.01,5.986,1.142,"1",6.09191496985964,0.010770329614269,"sup"
"CC020","P05","A10",-0.039,0.004,5.215,1.118,"1",5.37080180233827,0.0392045915678253,"sup"
"CC021","P01","A01",0.053,0.096,5.26,2.287,"1",5.64918843728902,0.109658560997307,"sup"
"CC021","P01","A01",0.119,-0.206,5.252,-4.22,"2",6.51612499880105,0.237901240013582,"inf"
"CC021","P01","A02",0.086,0.239,6.806,1.932,"1",6.92998189030823,0.254001968496309,"sup"
"CC021","P01","A02",0.068,-0.185,5.59,-3.86,"2",6.63310703969113,0.197101496696499,"inf"
"CC021","P01","A03",-0.084,0.176,3.995,2.317,"1",4.60674744261068,0.195017947891982,"sup"
"CC021","P01","A03",-0.011,-0.296,3.916,-1.86,"2",4.22698769811316,0.296204321372933,"inf"
"CC021","P01","A04",-0.08,0.172,5.06,3.405,"1",6.07222273965638,0.18969449122207,"sup"
"CC021","P01","A04",-0.013,-0.315,5.278,-3.867,"2",6.37270625401799,0.315268139842896,"inf"
"CC021","P01","A05",0.008,0.194,6.232,3.003,"1",6.82851792118905,0.194164878389476,"sup"
"CC021","P01","A05",-0.138,-0.219,5.909,-2.865,"2",6.60057005113952,0.258853240273326,"inf"
"CC021","P01","A06",0.023,0.175,7.386,4.9,"1",8.74867955751038,0.176504957437461,"sup"
"CC021","P01","A06",-0.117,-0.292,7.04,-2.519,"2",7.49547716960035,0.314567957681643,"inf"
"CC021","P01","A07",-0.065,0.19,5.014,2.966,"1",5.78812724462758,0.200810856280232,"sup"
"CC021","P01","A07",0.013,-0.164,5.204,-3.941,"2",6.41967366771863,0.164514437056448,"inf"
"CC021","P01","A08",0.039,0.281,6.369,2.802,"1",6.81354100303212,0.283693496576851,"sup"
"CC021","P01","A08",-0.09,-0.216,6.866,-2.158,"2",7.22200110772631,0.234,"inf"
"CC021","P01","A09",0.06,0.204,6.129,2.633,"1",6.53703311908392,0.212640541760032,"sup"
"CC021","P01","A09",-0.094,-0.174,5.322,-3.539,"2",6.37622780333325,0.197767540309324,"inf"
"CC021","P01","A10",0.024,0.156,7.456,4.947,"1",8.84241511126909,0.157835357255591,"sup"
"CC021","P01","A10",-0.09,-0.344,7.097,-2.608,"2",7.53516190934209,0.355578402043769,"inf"
"CC021","P02","A01",-0.149,0.099,5.508,6.315,"1",8.40477870023953,0.178891028282583,"sup"
"CC021","P02","A01",-0.136,-0.261,8.312,-4.218,"2",9.32880233470513,0.294307662149663,"inf"
"CC021","P02","A02",-0.022,0.151,5.324,5.876,"1",7.83296501970997,0.152594233180681,"sup"
"CC021","P02","A02",0.028,-0.29,7.316,-4.993,"2",8.67370468715646,0.29134858846406,"inf"
"CC021","P02","A03",0.015,0.258,6.587,4.155,"1",7.64053617228529,0.258435678651381,"sup"
"CC021","P02","A03",-0.035,-0.233,7.188,-3.729,"2",8.02457132811467,0.235614091259415,"inf"
"CC021","P02","A04",-0.08,0.155,6.576,4.304,"1",7.84324786042109,0.174427635425124,"sup"
"CC021","P02","A04",-0.08,-0.251,6.651,-4.774,"2",8.10949381897539,0.263440695413598,"inf"
"CC021","P02","A05",0.14,0.294,6.096,4.73,"1",7.42644140891181,0.325631693789164,"sup"
"CC021","P02","A05",0.026,-0.163,6.508,-5.261,"2",8.24657068119834,0.165060594934103,"inf"
"CC021","P02","A06",-0.03,0.163,5.863,6.344,"1",8.54003571421104,0.165737744644966,"sup"
"CC021","P02","A06",0.045,-0.14,7.257,-6.533,"2",9.63760307337878,0.147054411698527,"inf"
"CC021","P02","A07",-0.096,0.165,5.347,6.256,"1",8.16863085222977,0.190895259239196,"sup"
"CC021","P02","A07",-0.014,-0.331,8.213,-4.368,"2",9.16410923112552,0.331295940210562,"inf"
"CC021","P02","A08",0.063,0.222,6.73,4.535,"1",7.94045703974274,0.230766115363586,"sup"
"CC021","P02","A08",-0.009,-0.282,7.211,-4.018,"2",8.1293355202009,0.282143580469236,"inf"
"CC021","P02","A09",-0.095,0.183,5.271,6.122,"1",8.00410375994714,0.206189233472555,"sup"
"CC021","P02","A09",-0.046,-0.171,8.162,-4.073,"2",9.08828190583897,0.177079078380254,"inf"
"CC021","P02","A10",0.033,0.21,5.854,6.712,"1",8.72697226992271,0.212577044856682,"sup"
"CC021","P02","A10",-0.011,-0.326,8.736,-4.555,"2",9.71568062463974,0.326185530028541,"inf"
"CC021","P03","A01",0.021,0.309,6.395,4.554,"1",7.65819175784989,0.309712770159708,"sup"
"CC021","P03","A01",0.021,-0.282,7.244,-3.506,"2",7.90986125036337,0.282780833862552,"inf"
"CC021","P03","A02",-0.083,0.292,6.375,4.177,"1",7.53651039938246,0.30356712601993,"sup"
"CC021","P03","A02",-0.083,-0.375,6.688,-2.812,"2",7.19620802923317,0.384075513408496,"inf"
"CC021","P03","A03",-0.026,0.314,6.93,4.389,"1",8.06173436674764,0.315074594342356,"sup"
"CC021","P03","A03",-0.015,-0.345,7.774,-2.752,"2",8.15243337905929,0.34532593299664,"inf"
"CC021","P03","A04",-0.052,0.213,6.821,4.608,"1",8.15807293421676,0.219255558652455,"sup"
"CC021","P03","A04",-0.042,-0.37,7.415,-4.15,"2",8.36033785202488,0.37237615390892,"inf"
"CC021","P03","A05",0.108,0.305,7.337,4.291,"1",8.25509763721787,0.323556795632544,"sup"
"CC021","P03","A05",-0.006,-0.334,7.942,-3.783,"2",8.6640813130995,0.33405388786841,"inf"
"CC021","P03","A06",-0.026,0.224,5.431,2.495,"1",5.91069285278807,0.225503880232691,"sup"
"CC021","P03","A06",-0.016,-0.243,5.628,-2.99,"2",6.27700127449406,0.243526179290852,"inf"
"CC021","P03","A07",0.028,0.238,5.628,1.857,"1",5.82933624008772,0.239641398760732,"sup"
"CC021","P03","A07",-0.044,-0.162,5.132,-2.422,"2",5.64788243503705,0.167868996541946,"inf"
"CC021","P03","A08",0.029,0.231,6.056,3.059,"1",6.65750050694703,0.232813229864628,"sup"
"CC021","P03","A08",0.02,-0.159,6.5,-3.494,"2",7.28784090111742,0.160252925090308,"inf"
"CC021","P03","A09",0.033,0.213,6.497,3.695,"1",7.34218087491721,0.215541179360233,"sup"
"CC021","P03","A09",0.023,-0.31,7.788,-3.475,"2",8.38525193419971,0.310852054842814,"inf"
"CC021","P03","A10",0.055,0.274,7.415,3.14,"1",7.89832615178685,0.279465561384583,"sup"
"CC021","P03","A10",-0.022,-0.224,7.161,-4.806,"2",8.51998902581453,0.22507776433935,"inf"
"CC021","P04","A01",0.071,0.128,5.761,3.146,"1",6.44084031784673,0.146372811683044,"sup"
"CC021","P04","A01",0.053,-0.146,5.823,-3.287,"2",6.56953430617422,0.155322245670091,"inf"
"CC021","P04","A02",-0.034,0.192,5.876,4.374,"1",7.23997403310261,0.194987179065702,"sup"
"CC021","P04","A02",-0.073,-0.235,6.594,-3.302,"2",7.33862235027801,0.246077223651438,"inf"
"CC021","P04","A03",-0.045,0.15,6.512,2.948,"1",7.12902889599979,0.156604597633658,"sup"
"CC021","P04","A03",-0.036,-0.164,6.369,-2.087,"2",6.68744749512099,0.167904734894523,"inf"
"CC021","P04","A04",-0.017,0.081,5.322,4.268,"1",6.78497531314595,0.0827647267862342,"sup"
"CC021","P04","A04",-0.017,-0.224,5.941,-3.193,"2",6.65678037793046,0.224644163066838,"inf"
"CC021","P04","A05",0.018,0.127,6.602,3.188,"1",7.26076972503605,0.128269248068272,"sup"
"CC021","P04","A05",0.009,-0.2,6.548,-2.289,"2",6.86457879261357,0.200202397588041,"inf"
"CC021","P04","A06",0.011,0.089,4.993,2.732,"1",5.63966071674529,0.0896771988857814,"sup"
"CC021","P04","A06",-0.076,-0.293,5.071,-1.372,"2",5.25888296123806,0.302696217353306,"inf"
"CC021","P04","A07",0.062,0.132,7.491,1.746,"1",7.60230471633438,0.145835523793073,"sup"
"CC021","P04","A07",-0.015,-0.132,5.544,-3.77,"2",6.6436078300875,0.132849538952907,"inf"
"CC021","P04","A08",-0.006,0.145,4.299,2.044,"1",4.70523389429261,0.145124084837769,"sup"
"CC021","P04","A08",-0.006,-0.198,4.921,-1.713,"2",5.15466332557229,0.19809088823063,"inf"
"CC021","P04","A09",0.078,0.164,4.963,2.185,"1",5.28655521109919,0.18160396471443,"sup"
"CC021","P04","A09",0.029,-0.179,5.208,-2.209,"2",5.56263795334552,0.181333946077396,"inf"
"CC021","P04","A10",-0.009,0.144,4.867,2.51,"1",5.41971696677972,0.144280975876933,"sup"
"CC021","P04","A10",-0.018,-0.18,5.056,-1.772,"2",5.31788867878973,0.180897761180176,"inf"
"CC021","P05","A01",0.073,0.261,10.269,5.863,"1",11.6336073511186,0.271016604657353,"sup"
"CC021","P05","A01",0.09,-0.375,9.927,-7.345,"2",12.0560138105429,0.385648803965473,"inf"
"CC021","P05","A02",-0.044,0.315,10.874,5.056,"1",11.9029326218374,0.318058170780126,"sup"
"CC021","P05","A02",-0.044,-0.307,9.9,-6.149,"2",11.5330871842712,0.310137066472229,"inf"
"CC021","P05","A03",-0.016,0.115,6.53,3.566,"1",7.3999673647929,0.11610770861575,"sup"
"CC021","P05","A03",-0.016,-0.251,6.29,-3.336,"2",7.02017528271196,0.251509443162677,"inf"
"CC021","P05","A04",0.003,0.261,8.202,3.12,"1",8.6831723465563,0.261017240809874,"sup"
"CC021","P05","A04",-0.035,-0.255,8.315,-2.887,"2",8.7549942318656,0.257390753524675,"inf"
"CC021","P05","A05",-0.033,0.257,6.565,2.992,"1",7.14239658658073,0.25911001524449,"sup"
"CC021","P05","A05",-0.022,-0.246,7.023,-1.664,"2",7.18628895884378,0.246981780704569,"inf"
"CC021","P05","A06",0.033,0.263,7.345,3.788,"1",8.11732523680061,0.265062256837898,"sup"
"CC021","P05","A06",0.033,-0.231,7.136,-2.591,"2",7.48479852768263,0.233345237791561,"inf"
"CC021","P05","A07",0.065,0.286,6.948,2.696,"1",7.2927216455861,0.29329336848964,"sup"
"CC021","P05","A07",0.076,-0.265,7.834,-2.242,"2",8.00594110645338,0.275682788726464,"inf"
"CC021","P05","A08",0.039,0.286,6.626,3.318,"1",7.25131663906632,0.288646843045269,"sup"
"CC021","P05","A08",0.059,-0.237,7.485,-1.837,"2",7.59641204780257,0.244233494836396,"inf"
"CC021","P05","A09",-0.03,0.32,10.981,5.632,"1",12.2253615488459,0.321403173599764,"sup"
"CC021","P05","A09",0.004,-0.337,9.582,-7.807,"2",12.1465626413401,0.337023738036359,"inf"
"CC021","P05","A10",0.084,0.334,11.53,4.646,"1",12.2312820260184,0.344400929150895,"sup"
"CC021","P05","A10",0,-0.267,10.11,-6.918,"2",12.1015660556806,0.267,"inf"
"CC022","P01","A01",-0.09,0.142,3.777,3.277,"1",4.97814362990864,0.16811900546934,"sup"
"CC022","P01","A01",-0.022,-0.211,4.216,-2.855,"2",4.99513563379414,0.212143819141638,"inf"
"CC022","P01","A02",0,0.17,3.866,3.125,"1",4.86600256884437,0.17,"sup"
"CC022","P01","A02",-0.009,-0.221,3.96,-2.12,"2",4.39990477169677,0.221183182000802,"inf"
"CC022","P01","A03",-0.03,0.183,3.826,3.076,"1",4.82060006638178,0.185442713526307,"sup"
"CC022","P01","A03",-0.064,-0.235,3.98,-2.146,"2",4.47279073957188,0.243559027753027,"inf"
"CC022","P01","A04",-0.023,0.068,3.822,2.266,"1",4.42890833050313,0.0717843994193725,"sup"
"CC022","P01","A04",-0.053,-0.249,3.475,-2.667,"2",4.27709106753644,0.254578082324461,"inf"
"CC022","P01","A05",-0.078,0.149,3.554,2.552,"1",4.3549779563162,0.168181449631046,"sup"
"CC022","P01","A05",-0.049,-0.207,3.627,-2.522,"2",4.34421465860056,0.212720473861826,"inf"
"CC022","P01","A06",-0.004,0.231,3.557,2.89,"1",4.44420994103564,0.231034629438965,"sup"
"CC022","P01","A06",-0.026,-0.145,4.06,-1.835,"2",4.42170736254673,0.147312592808626,"inf"
"CC022","P01","A07",-0.03,0.168,3.849,2.419,"1",4.48482351938178,0.170657551839935,"sup"
"CC022","P01","A07",-0.067,-0.165,3.383,-2.57,"2",4.20553504324955,0.178084249724674,"inf"
"CC022","P01","A08",0,0.199,4.122,2.224,"1",4.59254929205991,0.199,"sup"
"CC022","P01","A08",-0.022,-0.222,3.583,-2.467,"2",4.24688709527343,0.223087426808415,"inf"
"CC022","P01","A09",0,0.198,4.075,2.381,"1",4.62289022149564,0.198,"sup"
"CC022","P01","A09",0,-0.177,3.508,-2.41,"2",4.15840750768849,0.177,"inf"
"CC022","P01","A10",0.002,0.256,3.753,2.775,"1",4.51833619820394,0.256007812380794,"sup"
"CC022","P01","A10",0.034,-0.184,3.697,-2.327,"2",4.24382115551539,0.187114937939225,"inf"
"CC022","P02","A01",0.025,0.077,5.167,3.912,"1",6.41462305985317,0.0809567785920364,"sup"
"CC022","P02","A02",-0.007,0.071,4.136,3.75,"1",5.54071204810356,0.0713442359269479,"sup"
"CC022","P02","A03",0.015,0.025,6.019,3.342,"1",6.85933706709329,0.0291547594742265,"sup"
"CC022","P02","A04",0.01,0.046,5.105,3.456,"1",6.13083395632275,0.0470744091837593,"sup"
"CC022","P02","A05",0.166,0.061,5.756,3.797,"1",6.72352556327408,0.17685304634074,"sup"
