 ,X,Y
1,0.043,0.637
2,-0.343,3.355
3,0.172,0.608
4,2.075,3.212
5,0.343,0.508
6,3.334,1.552
7,0.401,0.322
8,4.865,0.351
9,0.329,-0.021
10,5.280,-0.336
11,0.329,-0.250
12,3.820,-0.494
13,0.300,-0.422
14,2.847,-1.452
15,0.086,-0.551
16,2.389,-1.653
17,-0.029,-0.579
18,1.817,-1.939
19,-0.143,-0.579
20,-1.302,-1.953
21,-0.243,-0.537
22,-2.118,-1.924
23,-0.401,-0.479
24,-3.448,-0.765
25,-0.386,-0.308
26,-4.321,-0.436
27,-0.415,-0.064
28,-5.351,0.494
29,-0.429,0.222
30,-5.008,1.323
31,-0.300,0.479
32,-2.919,2.268
33,-0.100,0.622
34,-2.575,2.597
