 ,X,Y
1,-0.006,0.666
2,-0.050,3.596
3,0.094,0.589
4,1.122,3.275
5,0.193,0.522
6,1.940,2.855
7,0.260,0.390
8,2.803,2.126
9,0.304,0.257
10,3.344,1.086
11,0.282,0.069
12,3.344,0.987
13,0.381,0.003
14,3.311,0.379
15,0.392,-0.130
16,3.466,-0.075
17,0.348,-0.296
18,2.847,-0.760
19,0.304,-0.428
20,2.427,-1.877
21,0.216,-0.517
22,1.996,-1.954
23,0.149,-0.556
24,0.871,-2.322
25,0.058,-0.531
26,0.688,-2.247
27,-0.066,-0.514
28,-0.149,-2.297
29,-0.149,-0.589
30,-1.658,-1.915
31,-0.249,-0.489
32,-2.512,-1.484
33,-0.357,-0.406
34,-2.993,-1.211
35,-0.373,-0.274
36,-3.441,-0.813
37,-0.348,-0.133
38,-3.665,-0.340
39,-0.357,0.008
40,-3.657,0.730
41,-0.332,0.174
42,-3.350,1.517
43,-0.315,0.299
44,-3.176,1.335
45,-0.257,0.398
46,-2.214,2.430
47,-0.166,0.498
48,-1.443,2.869
49,-0.100,0.630
50,-0.920,3.400
