 ,X,Y
1,0.000,0.509
2,0.009,3.415
3,0.075,0.490
4,2.688,1.887
5,0.132,0.396
6,2.651,2.962
7,0.255,0.340
8,3.254,3.103
9,0.283,0.198
10,4.424,1.622
11,0.264,0.085
12,4.716,1.198
13,0.274,-0.066
14,4.320,0.547
15,0.255,-0.208
16,4.688,0.500
17,0.189,-0.302
18,3.245,-1.151
19,0.132,-0.387
20,2.217,-2.019
21,0.038,-0.396
22,0.198,-2.971
23,-0.047,-0.387
24,-0.670,-3.047
25,-0.113,-0.358
26,-3.349,-0.792
27,-0.198,-0.245
28,-3.886,-0.557
29,-0.255,-0.113
30,-4.377,-0.368
31,-0.245,0.047
32,-4.424,0.726
33,-0.264,0.189
34,-4.132,2.122
35,-0.226,0.292
36,-3.207,2.792
37,-0.132,0.415
38,-2.745,2.735
39,-0.066,0.481
40,-1.783,3.235
