 ,X,Y
1,0.033,0.684
2,-0.228,3.878
3,0.206,0.608
4,3.845,1.336
5,0.304,0.424
6,3.736,1.195
7,0.337,0.282
8,4.051,0.739
9,0.434,0.152
10,4.388,0.413
11,0.489,0.033
12,4.421,-0.315
13,0.492,-0.083
14,4.055,-0.938
15,0.463,-0.228
16,4.468,-0.699
17,0.413,-0.315
18,4.164,-0.757
19,0.420,-0.416
20,3.447,-1.474
21,0.340,-0.482
22,3.215,-1.213
23,0.232,-0.532
24,2.838,-1.720
25,0.152,-0.568
26,2.737,-1.655
27,0.087,-0.568
28,1.825,-2.437
29,-0.022,-0.576
30,1.492,-2.581
31,-0.152,-0.554
32,1.933,-2.299
33,-0.301,-0.482
34,-3.595,-0.800
35,-0.380,-0.402
36,-3.190,-0.706
37,-0.424,-0.337
38,-3.936,-0.322
39,-0.442,-0.246
40,-4.004,0.014
41,-0.471,-0.058
42,-3.896,0.101
43,-0.485,0.058
44,-3.925,0.854
45,-0.463,0.174
46,-4.265,0.615
47,-0.427,0.297
48,-4.120,1.050
49,-0.326,0.391
50,-3.700,1.303
51,-0.246,0.514
52,-3.526,1.687
53,-0.123,0.659
54,-2.205,3.114
