 ,X,Y
1,-0.030,0.644
2,0.039,4.371
3,0.152,0.549
4,2.059,3.100
5,0.213,0.488
6,4.253,0.305
7,0.266,0.366
8,4.210,-0.331
9,0.283,0.244
10,4.532,-0.235
11,0.318,0.131
12,4.680,0.157
13,0.326,0.017
14,4.410,-0.496
15,0.379,-0.174
16,4.366,-0.270
17,0.370,-0.261
18,4.079,-1.515
19,0.344,-0.357
20,3.200,-1.471
21,0.283,-0.444
22,3.330,-1.959
23,0.205,-0.496
24,2.521,-3.034
25,0.126,-0.518
26,2.285,-3.026
27,-0.004,-0.535
28,1.284,-3.278
29,-0.170,-0.544
30,1.424,-2.869
31,-0.292,-0.562
32,-3.470,-1.276
33,-0.361,-0.475
34,-3.940,-0.623
35,-0.396,-0.396
36,-4.079,-0.353
37,-0.475,-0.318
38,-4.157,-0.405
39,-0.553,-0.196
40,-4.227,-0.309
41,-0.562,-0.052
42,-4.210,0.122
43,-0.544,0.096
44,-3.026,1.106
45,-0.544,0.252
46,-2.634,3.326
47,-0.535,0.374
48,-2.843,3.117
49,-0.422,0.496
50,-2.764,3.413
51,-0.274,0.618
52,-3.004,3.509
