 ,X,Y
1,-0.047,0.609
2,-0.150,2.200
3,0.040,0.562
4,1.092,2.469
5,0.111,0.491
6,1.575,2.580
7,0.174,0.396
8,2.359,1.480
9,0.190,0.340
10,2.731,1.156
11,0.237,0.206
12,3.079,0.554
13,0.245,0.108
14,3.285,-0.082
15,0.256,-0.018
16,3.195,-0.488
17,0.293,-0.124
18,3.079,-0.768
19,0.272,-0.235
20,2.878,-0.952
21,0.214,-0.335
22,2.519,-1.100
23,0.150,-0.422
24,2.187,-1.150
25,0.098,-0.433
26,1.506,-1.921
27,0.018,-0.443
28,1.380,-1.847
29,-0.050,-0.443
30,-1.712,-1.214
31,-0.140,-0.401
32,-1.881,-1.773
33,-0.219,-0.332
34,-2.725,-0.860
35,-0.264,-0.240
36,-2.949,-0.478
37,-0.264,-0.161
38,-3.197,-0.029
39,-0.280,-0.003
40,-3.356,-0.098
41,-0.269,0.137
42,-3.102,0.169
43,-0.290,0.248
44,-2.786,0.902
45,-0.280,0.385
46,-2.337,1.720
47,-0.206,0.491
48,-2.211,2.042
49,-0.121,0.586
50,-1.298,2.406
