 ,X,Y
1,-0.077,0.894
2,0.652,4.447
3,0.038,0.843
4,1.853,4.383
5,0.141,0.767
6,2.862,3.910
7,0.281,0.601
8,3.961,2.888
9,0.383,0.486
10,4.817,2.160
11,0.422,0.281
12,5.124,1.150
13,0.409,0.089
14,4.843,0.524
15,0.409,-0.077
16,4.792,-0.703
17,0.473,-0.256
18,4.012,-1.482
19,0.422,-0.409
20,3.463,-1.584
21,0.319,-0.498
22,2.262,-2.620
23,0.166,-0.486
24,1.354,-2.760
25,0.000,-0.486
26,0.307,-3.156
27,-0.102,-0.447
28,0.498,-3.054
29,-0.192,-0.447
30,-2.415,-2.850
31,-0.294,-0.358
32,-2.888,-2.594
33,-0.319,-0.192
34,-4.396,-0.767
35,-0.358,-0.089
36,-4.792,0.345
37,-0.358,0.102
38,-5.124,0.396
39,-0.371,0.230
40,-5.239,0.473
41,-0.358,0.371
42,-4.996,0.869
43,-0.332,0.511
44,-3.527,3.067
45,-0.243,0.690
46,-2.568,3.846
47,-0.179,0.818
48,-0.716,4.613
