 ,X,Y
1,-0.089,0.725
2,0.607,4.113
3,0.030,0.681
4,3.620,2.584
5,0.108,0.621
6,4.231,1.618
7,0.187,0.513
8,5.346,0.641
9,0.217,0.355
10,5.770,-0.542
11,0.291,0.143
12,5.548,-1.100
13,0.311,-0.044
14,4.986,-1.317
15,0.291,-0.242
16,4.118,-1.938
17,0.222,-0.360
18,3.319,-1.820
19,0.153,-0.488
20,2.540,-2.944
21,0.074,-0.557
22,1.997,-3.151
23,0.005,-0.587
24,1.119,-3.279
25,-0.084,-0.577
26,-1.987,-2.875
27,-0.163,-0.518
28,-2.135,-2.559
29,-0.261,-0.429
30,-3.013,-2.372
31,-0.321,-0.340
32,-4.325,-1.770
33,-0.385,-0.148
34,-5.198,-1.361
35,-0.335,0.000
36,-5.494,-0.592
37,-0.286,0.227
38,-6.105,0.138
39,-0.256,0.464
40,-4.862,2.081
41,-0.207,0.611
42,-4.093,1.953
43,-0.168,0.681
44,-2.259,3.245
