 ,X,Y
1,0.061,0.584
2,0.353,4.523
3,0.158,0.511
4,2.249,4.268
5,0.219,0.426
6,4.474,2.675
7,0.243,0.304
8,4.316,2.189
9,0.292,0.195
10,4.949,1.727
11,0.280,0.000
12,4.718,1.836
13,0.292,-0.134
14,4.742,0.815
15,0.312,-0.235
16,3.741,-2.035
17,0.280,-0.357
18,4.333,0.024
19,0.231,-0.462
20,3.619,-1.548
21,0.166,-0.494
22,2.719,-2.262
23,0.085,-0.527
24,2.525,-2.164
25,-0.008,-0.543
26,-1.102,-3.299
27,-0.097,-0.511
28,-1.021,-3.437
29,-0.186,-0.454
30,-1.613,-3.283
31,-0.235,-0.365
32,-3.202,-2.805
33,-0.276,-0.284
34,-2.999,-3.502
35,-0.272,-0.186
36,-4.576,-2.043
37,-0.296,-0.065
38,-4.965,-1.589
39,-0.255,0.089
40,-4.730,1.816
41,-0.223,0.243
42,-4.940,0.032
43,-0.182,0.349
44,-4.138,2.780
45,-0.126,0.462
46,-3.741,2.934
47,-0.077,0.563
48,-1.617,4.454
