 ,X,Y
1,-0.063,0.679
2,-1.131,4.827
3,0.063,0.654
4,2.024,4.613
5,0.163,0.566
6,2.941,4.387
7,0.214,0.402
8,3.532,4.161
9,0.251,0.277
10,5.569,1.332
11,0.277,0.101
12,5.933,0.817
13,0.302,-0.038
14,5.594,0.113
15,0.314,-0.163
16,5.229,-0.528
17,0.302,-0.302
18,4.161,-1.081
19,0.239,-0.402
20,3.721,-0.880
21,0.113,-0.453
22,3.620,-1.420
23,0.000,-0.453
24,1.156,-3.155
25,-0.113,-0.440
26,-0.629,-4.249
27,-0.214,-0.440
28,-0.742,-3.419
29,-0.302,-0.390
30,-2.703,-2.866
31,-0.352,-0.289
32,-5.129,-0.830
33,-0.390,-0.163
34,-5.166,0.063
35,-0.427,0.000
36,-5.619,-0.075
37,-0.390,0.138
38,-4.337,2.376
39,-0.289,0.352
40,-4.601,2.225
41,-0.214,0.528
42,-4.073,3.042
43,-0.151,0.629
44,-3.117,4.148
