 ,X,Y
1,-0.013,0.655
2,0.851,4.504
3,0.079,0.589
4,2.514,4.242
5,0.144,0.471
6,4.504,2.697
7,0.209,0.367
8,5.093,1.676
9,0.262,0.236
10,5.146,1.034
11,0.327,0.079
12,5.054,1.008
13,0.340,-0.079
14,5.552,-0.262
15,0.380,-0.223
16,4.727,-1.807
17,0.262,-0.301
18,4.321,-1.938
19,0.223,-0.432
20,2.318,-3.863
21,0.157,-0.537
22,3.169,-3.064
23,0.052,-0.550
24,1.336,-3.758
25,-0.039,-0.550
26,-1.990,-2.985
27,-0.144,-0.511
28,-2.291,-2.998
29,-0.205,-0.476
30,-3.575,-1.541
31,-0.231,-0.397
32,-3.566,-2.239
33,-0.231,-0.266
34,-4.220,-2.117
35,-0.284,-0.144
36,-4.046,-1.846
37,-0.275,-0.013
38,-4.028,-0.816
39,-0.240,0.096
40,-3.758,2.898
41,-0.223,0.201
42,-4.823,1.580
43,-0.118,0.332
44,-4.404,2.636
45,-0.100,0.471
46,-3.915,1.798
47,-0.057,0.585
48,-1.960,4.312
