 ,X,Y
1,-0.096,0.583
2,0.274,2.774
3,0.068,0.505
4,0.871,2.752
5,0.160,0.498
6,1.860,2.169
7,0.245,0.398
8,1.824,2.283
9,0.295,0.356
10,3.240,0.135
11,0.316,0.284
12,3.759,0.235
13,0.366,0.199
14,3.723,-0.292
15,0.373,0.057
16,3.994,0.213
17,0.373,-0.064
18,3.922,-0.462
19,0.324,-0.185
20,3.318,-0.491
21,0.302,-0.306
22,3.332,-0.832
23,0.174,-0.391
24,3.403,-1.501
25,0.117,-0.469
26,2.592,-1.871
27,0.011,-0.519
28,1.839,-2.489
29,-0.096,-0.541
30,-1.334,-2.411
31,-0.174,-0.498
32,-2.301,-1.572
33,-0.260,-0.455
34,-2.251,-2.013
35,-0.316,-0.384
36,-2.848,-1.494
37,-0.388,-0.292
38,-3.353,-1.131
39,-0.452,-0.192
40,-3.809,-0.619
41,-0.459,-0.057
42,-3.773,-0.228
43,-0.409,0.078
44,-3.609,0.164
45,-0.416,0.185
46,-3.752,1.259
47,-0.373,0.284
48,-2.642,2.048
49,-0.338,0.384
50,-2.087,2.169
51,-0.274,0.491
52,-2.486,1.600
53,-0.224,0.555
54,-1.554,2.119
