 ,X,Y
1,0.000,0.631
2,-0.863,6.010
3,0.116,0.564
4,1.926,6.093
5,0.216,0.470
6,3.564,5.556
7,0.210,0.376
8,5.368,2.601
9,0.243,0.210
10,5.799,2.900
11,0.376,0.100
12,6.452,1.638
13,0.454,-0.044
14,5.943,-0.421
15,0.432,-0.166
16,6.231,-0.332
17,0.409,-0.387
18,5.766,-1.804
19,0.310,-0.570
20,4.726,-1.898
21,0.199,-0.692
22,4.383,-2.496
23,0.116,-0.764
24,3.677,-3.669
25,0.017,-0.772
26,-0.490,-5.113
27,-0.066,-0.789
28,-4.206,-2.833
29,-0.243,-0.697
30,-4.759,-2.435
31,-0.332,-0.576
32,-5.014,-2.712
33,-0.498,-0.498
34,-4.748,-2.534
35,-0.509,-0.354
36,-5.921,-2.402
37,-0.520,-0.221
38,-6.253,-1.616
39,-0.564,-0.011
40,-6.397,-1.007
41,-0.520,0.100
42,-6.386,0.808
43,-0.387,0.288
44,-6.552,1.206
45,-0.277,0.421
46,-5.844,2.446
47,-0.194,0.520
48,-4.864,3.165
49,-0.127,0.598
50,-2.297,5.014
