 ,X,Y
1,0.038,0.869
2,-0.128,4.511
3,0.128,0.843
4,3.833,2.351
5,0.204,0.754
6,4.306,2.441
7,0.243,0.613
8,5.047,0.997
9,0.217,0.447
10,6.146,0.818
11,0.281,0.230
12,6.261,0.345
13,0.332,0.026
14,5.891,-0.383
15,0.319,-0.089
16,5.073,-1.763
17,0.319,-0.281
18,4.000,-2.402
19,0.307,-0.422
20,3.552,-2.326
21,0.179,-0.498
22,2.977,-1.853
23,0.089,-0.562
24,-1.508,-3.757
25,-0.013,-0.537
26,-1.917,-3.655
27,-0.102,-0.524
28,-3.642,-1.533
29,-0.204,-0.460
30,-3.885,-1.917
31,-0.319,-0.281
32,-5.162,-1.559
33,-0.345,-0.128
34,-5.073,-1.853
35,-0.281,0.115
36,-5.776,-1.035
37,-0.204,0.345
38,-5.942,0.089
39,-0.179,0.486
40,-5.188,1.981
41,-0.153,0.652
42,-4.881,1.878
43,-0.102,0.741
44,-3.527,2.658
45,-0.047,0.814
46,-2.568,3.531
