 ,X,Y
1,-0.052,0.890
2,0.065,5.225
3,0.090,0.851
4,2.258,4.696
5,0.219,0.735
6,2.490,4.373
7,0.310,0.606
8,3.844,3.367
9,0.400,0.503
10,4.967,2.490
11,0.439,0.335
12,5.895,1.045
13,0.464,0.142
14,5.934,0.284
15,0.464,-0.026
16,5.702,-1.509
17,0.447,-0.142
18,5.143,-1.879
19,0.447,-0.297
20,4.928,-2.404
21,0.447,-0.426
22,3.827,-3.135
23,0.378,-0.572
24,3.457,-3.092
25,0.301,-0.632
26,2.245,-3.427
27,0.155,-0.658
28,0.843,-3.599
29,0.034,-0.667
30,-0.576,-3.565
31,-0.060,-0.658
32,-1.987,-3.530
33,-0.194,-0.641
34,-3.591,-1.888
35,-0.262,-0.546
36,-3.806,-1.638
37,-0.331,-0.452
38,-4.425,-1.750
39,-0.374,-0.310
40,-4.657,-1.479
41,-0.452,-0.189
42,-5.268,-1.152
43,-0.469,-0.034
44,-5.336,0.069
45,-0.434,0.095
46,-5.870,0.602
47,-0.417,0.292
48,-5.741,1.600
49,-0.391,0.456
50,-5.629,1.428
51,-0.374,0.576
52,-5.113,1.780
53,-0.271,0.705
54,-5.182,1.539
55,-0.151,0.851
56,-1.522,5.263
