 ,X,Y
1,-0.014,1.113
2,0.493,5.762
3,0.183,0.986
4,1.958,5.410
5,0.296,0.775
6,3.691,4.297
7,0.310,0.564
8,5.100,3.043
9,0.366,0.380
10,6.199,2.550
11,0.409,0.197
12,6.579,1.169
13,0.394,0.028
14,6.298,-0.211
15,0.366,-0.183
16,6.086,-0.028
17,0.409,-0.296
18,5.762,-1.902
19,0.380,-0.423
20,5.415,-2.254
21,0.333,-0.507
22,4.457,-3.052
23,0.324,-0.610
24,2.043,-4.330
25,0.202,-0.629
26,0.709,-4.536
27,0.080,-0.657
28,-0.117,-4.489
29,-0.080,-0.667
30,-1.864,-4.067
31,-0.296,-0.573
32,-2.738,-3.766
33,-0.390,-0.545
34,-4.532,-2.235
35,-0.465,-0.460
36,-4.983,-2.414
37,-0.521,-0.348
38,-5.574,-2.395
39,-0.526,-0.183
40,-6.152,-1.489
41,-0.545,-0.042
42,-6.321,-0.371
43,-0.517,0.099
44,-5.908,1.216
45,-0.404,0.268
46,-5.701,2.898
47,-0.291,0.437
48,-4.762,3.301
49,-0.207,0.596
50,-4.377,3.085
51,-0.122,0.756
52,-2.245,5.236
53,-0.103,0.897
54,-1.559,5.321
