 ,X,Y
1,0.012,0.954
2,1.268,4.841
3,0.181,0.857
4,2.402,4.551
5,0.290,0.724
6,3.102,4.454
7,0.314,0.519
8,4.527,2.245
9,0.350,0.338
10,5.493,1.919
11,0.398,0.193
12,5.674,0.398
13,0.398,0.036
14,5.420,-0.809
15,0.435,-0.097
16,5.155,-1.606
17,0.423,-0.217
18,4.877,-1.678
19,0.439,-0.370
20,3.609,-2.559
21,0.382,-0.451
22,3.465,-2.278
23,0.334,-0.587
24,3.609,-2.197
25,0.197,-0.604
26,1.799,-3.485
27,-0.036,-0.644
28,0.213,-2.897
29,-0.181,-0.628
30,-1.976,-3.026
31,-0.310,-0.571
32,-2.451,-2.535
33,-0.414,-0.443
34,-2.756,-3.839
35,-0.439,-0.354
36,-4.724,-1.690
37,-0.531,-0.185
38,-4.941,-1.376
39,-0.547,-0.032
40,-5.102,-1.207
41,-0.507,0.113
42,-5.440,-0.612
43,-0.451,0.258
44,-5.722,0.909
45,-0.443,0.418
46,-5.263,1.191
47,-0.402,0.587
48,-4.909,1.135
49,-0.258,0.676
50,-4.016,3.356
51,-0.145,0.829
52,-1.320,4.756
