 ,X,Y
1,-0.194,0.879
2,-0.284,5.544
3,-0.039,0.866
4,0.078,5.311
5,0.116,0.801
6,2.585,4.833
7,0.271,0.659
8,3.373,4.433
9,0.323,0.517
10,4.652,3.386
11,0.349,0.349
12,5.066,2.455
13,0.388,0.194
14,5.467,0.866
15,0.401,0.013
16,5.699,-0.194
17,0.439,-0.142
18,5.169,-0.750
19,0.439,-0.258
20,5.337,-1.357
21,0.383,-0.392
22,4.881,-2.236
23,0.306,-0.487
24,3.631,-3.718
25,0.246,-0.599
26,3.614,-3.003
27,0.142,-0.642
28,-0.289,-4.355
29,0.047,-0.650
30,-0.495,-4.114
31,-0.047,-0.642
32,-1.822,-3.718
33,-0.220,-0.607
34,-1.633,-4.381
35,-0.340,-0.582
36,-3.313,-2.882
37,-0.418,-0.478
38,-4.372,-2.503
39,-0.487,-0.409
40,-4.846,-1.934
41,-0.513,-0.280
42,-5.191,-1.727
43,-0.582,-0.121
44,-5.699,-0.767
45,-0.547,0.026
46,-6.139,-0.052
47,-0.556,0.198
48,-5.958,0.767
49,-0.487,0.379
50,-5.424,1.663
51,-0.470,0.543
52,-4.846,2.688
53,-0.375,0.698
54,-2.856,4.988
