 ,X,Y
1,-0.132,0.889
2,0.376,5.564
3,0.056,0.851
4,1.637,5.273
5,0.151,0.720
6,3.998,3.739
7,0.282,0.616
8,4.807,3.166
9,0.310,0.437
10,5.061,2.272
11,0.381,0.301
12,5.743,0.564
13,0.475,0.122
14,5.800,-0.019
15,0.532,-0.028
16,5.781,-0.254
17,0.532,-0.207
18,5.489,-1.176
19,0.494,-0.386
20,5.066,-1.646
21,0.461,-0.489
22,4.309,-2.399
23,0.405,-0.602
24,2.832,-4.017
25,0.292,-0.659
26,1.308,-4.374
27,0.151,-0.696
28,0.075,-4.374
29,-0.028,-0.706
30,-2.474,-3.358
31,-0.207,-0.611
32,-1.881,-4.177
33,-0.329,-0.527
34,-3.368,-3.227
35,-0.433,-0.395
36,-4.026,-2.944
37,-0.508,-0.273
38,-5.475,-1.806
39,-0.560,-0.094
40,-5.715,-1.449
41,-0.522,0.094
42,-5.734,0.132
43,-0.466,0.245
44,-6.054,0.574
45,-0.409,0.386
46,-5.847,1.129
47,-0.362,0.508
48,-5.593,1.515
49,-0.287,0.640
50,-4.304,3.321
51,-0.240,0.851
52,-0.706,5.607
