 ,X,Y
1,-0.040,0.684
2,0.366,3.857
3,0.047,0.656
4,1.525,3.712
5,0.120,0.525
6,2.423,3.741
7,0.250,0.482
8,3.263,3.596
9,0.351,0.395
10,4.581,1.539
11,0.438,0.293
12,4.567,2.249
13,0.467,0.134
14,4.639,1.800
15,0.453,-0.025
16,5.088,0.192
17,0.453,-0.141
18,5.219,-0.837
19,0.424,-0.286
20,4.712,-1.242
21,0.380,-0.402
22,3.785,-2.561
23,0.279,-0.518
24,3.205,-2.647
25,0.163,-0.576
26,2.321,-3.386
27,0.062,-0.619
28,1.090,-3.864
29,-0.098,-0.605
30,-3.835,-1.633
31,-0.228,-0.590
32,-3.922,-1.865
33,-0.344,-0.402
34,-4.502,-1.170
35,-0.359,-0.272
36,-4.849,-0.779
37,-0.460,-0.156
38,-5.183,0.033
39,-0.431,-0.025
40,-5.429,0.409
41,-0.416,0.120
42,-5.603,0.931
43,-0.416,0.279
44,-4.994,2.264
45,-0.344,0.395
46,-3.357,3.901
47,-0.272,0.540
48,-2.865,3.915
49,-0.170,0.627
50,-1.517,4.234
51,-0.127,0.684
52,-1.025,3.741
