 ,X,Y
1,-0.088,0.661
2,-0.029,4.070
3,0.059,0.646
4,1.410,3.790
5,0.191,0.588
6,2.321,3.732
7,0.264,0.470
8,3.717,3.658
9,0.353,0.353
10,4.216,3.041
11,0.426,0.235
12,4.407,2.909
13,0.441,0.044
14,5.010,1.410
15,0.441,-0.103
16,5.333,-0.073
17,0.455,-0.294
18,5.113,-0.793
19,0.426,-0.426
20,4.540,-0.808
21,0.353,-0.518
22,3.868,-2.270
23,0.231,-0.628
24,2.644,-2.953
25,0.055,-0.650
26,2.898,-3.614
27,-0.055,-0.617
28,-3.206,-2.314
29,-0.220,-0.595
30,-3.504,-2.490
31,-0.342,-0.529
32,-4.297,-2.171
33,-0.397,-0.364
34,-5.058,-0.826
35,-0.463,-0.187
36,-5.113,-0.397
37,-0.485,-0.055
38,-5.476,-0.165
39,-0.441,0.088
40,-5.366,1.102
41,-0.419,0.309
42,-4.595,2.744
43,-0.386,0.452
44,-4.341,3.074
45,-0.298,0.606
46,-2.942,3.857
47,-0.220,0.661
48,-1.653,3.901
