 ,X,Y
1,0.016,0.716
2,0.618,4.669
3,0.212,0.667
4,2.099,4.669
5,0.342,0.602
6,4.084,3.628
7,0.390,0.456
8,4.881,3.010
9,0.439,0.293
10,6.069,0.390
11,0.423,0.098
12,5.955,0.342
13,0.407,-0.049
14,6.345,0.325
15,0.488,-0.195
16,5.646,-1.611
17,0.325,-0.390
18,5.353,-2.294
19,0.342,-0.553
20,4.702,-2.375
21,0.293,-0.667
22,4.035,-2.554
23,0.065,-0.716
24,2.473,-2.945
25,-0.163,-0.716
26,-1.660,-2.880
27,-0.325,-0.667
28,-3.579,-2.229
29,-0.390,-0.521
30,-4.507,-1.822
31,-0.439,-0.390
32,-4.832,-1.513
33,-0.472,-0.195
34,-5.792,-0.797
35,-0.472,0.000
36,-6.345,0.407
37,-0.423,0.179
38,-5.808,1.025
39,-0.390,0.390
40,-5.499,0.911
41,-0.293,0.504
42,-4.702,2.863
43,-0.212,0.635
44,-2.115,4.279
45,-0.076,0.738
46,-1.171,4.653
