 ,X,Y
1,-0.031,1.001
2,0.830,5.165
3,0.092,0.791
4,3.061,4.585
5,0.215,0.703
6,4.467,3.356
7,0.268,0.527
8,5.433,3.004
9,0.356,0.351
10,6.206,1.107
11,0.426,0.053
12,6.048,0.228
13,0.435,-0.158
14,5.389,-1.673
15,0.369,-0.329
16,4.849,-2.187
17,0.343,-0.488
18,4.361,-3.228
19,0.290,-0.606
20,3.452,-3.610
21,0.198,-0.685
22,2.767,-4.216
23,0.105,-0.764
24,1.291,-4.704
25,0.000,-0.764
26,0.751,-4.757
27,-0.158,-0.725
28,0.606,-4.374
29,-0.198,-0.632
30,-2.859,-3.861
31,-0.316,-0.606
32,-1.937,-4.374
33,-0.329,-0.474
34,-3.940,-1.489
35,-0.329,-0.369
36,-5.336,-0.962
37,-0.356,-0.277
38,-5.468,-0.619
39,-0.408,-0.079
40,-6.153,0.224
41,-0.356,0.079
42,-6.285,1.212
43,-0.277,0.303
44,-6.048,1.225
45,-0.211,0.567
46,-5.547,2.583
47,-0.171,0.725
48,-3.558,4.348
49,-0.119,0.856
50,-1.357,5.508
