 ,X,Y
1,0.017,0.663
2,-0.078,2.964
3,0.087,0.602
4,1.543,2.598
5,0.157,0.549
6,2.423,2.153
7,0.183,0.488
8,2.877,1.029
9,0.270,0.340
10,2.946,1.377
11,0.288,0.235
12,3.435,0.706
13,0.262,0.113
14,3.417,-0.044
15,0.305,0.000
16,3.644,-0.270
17,0.288,-0.166
18,3.557,-0.959
19,0.209,-0.264
20,2.656,-2.165
21,0.116,-0.352
22,2.220,-2.107
23,0.076,-0.410
24,1.435,-2.293
25,-0.017,-0.404
26,1.069,-2.322
27,-0.070,-0.398
28,-0.355,-2.810
29,-0.145,-0.392
30,-2.104,-1.828
31,-0.221,-0.381
32,-2.487,-1.915
33,-0.331,-0.288
34,-2.830,-1.735
35,-0.337,-0.119
36,-3.318,-0.787
37,-0.389,0.023
38,-3.661,-0.628
39,-0.372,0.186
40,-3.563,0.709
41,-0.343,0.291
42,-3.191,1.558
43,-0.279,0.372
44,-2.668,2.226
45,-0.186,0.488
46,-2.778,1.499
47,-0.110,0.593
48,-2.162,2.348
49,-0.052,0.628
50,-1.639,2.418
