 ,X,Y
1,-0.192,0.653
2,-1.063,4.368
3,-0.051,0.653
4,-0.026,4.381
5,0.102,0.653
6,1.819,3.804
7,0.269,0.666
8,2.178,4.394
9,0.346,0.525
10,3.971,2.985
11,0.436,0.371
12,4.458,2.600
13,0.500,0.243
14,5.034,2.395
15,0.589,-0.115
16,5.124,0.833
17,0.525,-0.243
18,5.354,-0.038
19,0.436,-0.397
20,4.957,-1.089
21,0.346,-0.512
22,2.242,-3.228
23,0.218,-0.551
24,0.256,-3.279
25,0.051,-0.576
26,-0.589,-3.100
27,-0.077,-0.615
28,-0.705,-3.279
29,-0.192,-0.615
30,-2.331,-2.280
31,-0.282,-0.525
32,-3.715,-1.640
33,-0.423,-0.397
34,-4.740,-0.858
35,-0.487,-0.295
36,-5.111,-0.282
37,-0.512,-0.179
38,-5.354,-0.397
39,-0.525,0.013
40,-5.201,-0.410
41,-0.589,0.205
42,-5.816,0.436
43,-0.589,0.397
44,-3.971,3.164
45,-0.551,0.538
46,-3.228,3.407
47,-0.423,0.692
48,-2.908,3.651
