 ,X,Y
1,0.028,0.586
2,0.482,3.127
3,0.113,0.567
4,2.003,2.532
5,0.161,0.501
6,3.250,1.616
7,0.217,0.387
8,3.477,-0.359
9,0.274,0.208
10,3.921,-0.945
11,0.302,0.094
12,4.526,-0.822
13,0.293,-0.085
14,4.375,-0.964
15,0.274,-0.217
16,3.704,-1.824
17,0.198,-0.321
18,3.279,-1.710
19,0.123,-0.387
20,2.920,-1.578
21,0.047,-0.397
22,1.871,-2.447
23,-0.019,-0.406
24,-1.805,-1.909
25,-0.085,-0.397
26,-1.672,-1.994
27,-0.180,-0.368
28,-3.184,-0.869
29,-0.255,-0.265
30,-3.997,-0.463
31,-0.293,-0.151
32,-4.403,0.019
33,-0.321,-0.019
34,-4.346,0.170
35,-0.293,0.123
36,-4.261,1.143
37,-0.255,0.321
38,-3.505,1.606
39,-0.236,0.491
40,-3.458,1.313
41,-0.142,0.567
42,-2.409,2.419
43,-0.066,0.605
44,-0.945,3.364
