 ,X,Y
1,0.050,0.917
2,2.062,3.019
3,0.189,0.797
4,2.561,2.471
5,0.299,0.658
6,3.637,2.391
7,0.448,0.418
8,4.892,1.375
9,0.468,0.139
10,5.580,0.289
11,0.448,-0.100
12,5.470,-0.189
13,0.399,-0.339
14,4.992,-0.249
15,0.369,-0.448
16,3.736,-2.152
17,0.199,-0.518
18,3.318,-2.142
19,0.060,-0.508
20,-0.687,-2.620
21,-0.050,-0.488
22,-2.232,-2.511
23,-0.189,-0.399
24,-3.677,-1.415
25,-0.269,-0.239
26,-4.713,-0.787
27,-0.339,-0.020
28,-5.311,-0.428
29,-0.349,0.209
30,-5.311,0.428
31,-0.269,0.488
32,-4.225,2.192
33,-0.179,0.687
34,-2.571,3.437
35,-0.040,0.857
36,-0.727,3.976
