 ,X,Y
1,-0.048,0.915
2,0.072,6.092
3,0.132,0.819
4,4.611,3.840
5,0.229,0.722
6,5.141,2.600
7,0.313,0.578
8,5.791,2.251
9,0.337,0.325
10,6.549,0.710
11,0.445,0.096
12,6.489,-1.240
13,0.457,-0.084
14,6.164,-2.035
15,0.457,-0.337
16,5.478,-2.769
17,0.385,-0.457
18,4.081,-3.359
19,0.301,-0.554
20,2.877,-3.997
21,0.181,-0.602
22,2.408,-3.732
23,0.084,-0.662
24,2.504,-2.143
25,-0.012,-0.686
26,1.493,-3.395
27,-0.120,-0.674
28,0.108,-3.816
29,-0.205,-0.662
30,-3.551,-2.612
31,-0.253,-0.566
32,-3.756,-2.528
33,-0.301,-0.457
34,-4.743,-2.516
35,-0.385,-0.289
36,-5.153,-1.734
37,-0.397,-0.132
38,-5.658,-1.397
39,-0.385,0.096
40,-6.260,-0.096
41,-0.337,0.361
42,-6.826,0.891
43,-0.301,0.590
44,-5.767,2.516
45,-0.217,0.710
46,-5.201,3.840
47,-0.144,0.855
48,-2.372,5.719
