 ,X,Y
1,-0.042,0.783
2,0.868,3.166
3,0.106,0.762
4,1.461,3.166
5,0.127,0.667
6,2.816,1.980
7,0.244,0.508
8,3.632,1.503
9,0.296,0.360
10,3.875,0.635
11,0.328,0.222
12,4.076,0.053
13,0.307,0.042
14,4.373,-0.169
15,0.318,-0.074
16,4.203,-0.561
17,0.293,-0.201
18,2.989,-2.587
19,0.201,-0.300
20,2.396,-2.749
21,0.124,-0.349
22,2.354,-2.425
23,0.060,-0.392
24,-1.013,-2.629
25,-0.018,-0.406
26,-1.394,-2.396
27,-0.102,-0.385
28,-1.570,-2.375
29,-0.194,-0.356
30,-2.643,-1.867
31,-0.251,-0.307
32,-2.968,-1.945
33,-0.265,-0.201
34,-3.857,-0.907
35,-0.349,-0.053
36,-4.344,-0.229
37,-0.335,0.081
38,-4.401,0.526
39,-0.335,0.201
40,-4.584,1.041
41,-0.307,0.321
42,-3.759,2.290
43,-0.265,0.434
44,-2.919,2.785
45,-0.180,0.596
46,-2.312,2.982
47,-0.138,0.780
48,-0.653,3.469
