 ,X,Y
1,-0.111,0.555
2,0.042,3.860
3,0.028,0.528
4,1.055,3.958
5,0.134,0.472
6,2.699,3.435
7,0.236,0.407
8,3.097,2.907
9,0.347,0.315
10,4.374,1.463
11,0.375,0.148
12,4.633,-0.167
13,0.403,0.000
14,4.615,0.074
15,0.384,-0.139
16,4.263,-1.916
17,0.347,-0.268
18,3.671,-2.620
19,0.310,-0.380
20,2.662,-2.925
21,0.218,-0.463
22,1.865,-2.972
23,0.106,-0.491
24,0.384,-2.824
25,0.023,-0.509
26,-0.051,-2.694
27,-0.069,-0.481
28,-1.143,-2.500
29,-0.134,-0.454
30,-1.449,-2.277
31,-0.199,-0.389
32,-2.625,-2.194
33,-0.255,-0.315
34,-3.495,-2.055
35,-0.301,-0.222
36,-4.272,-1.407
37,-0.310,-0.083
38,-4.365,-1.120
39,-0.292,0.074
40,-4.661,0.139
41,-0.292,0.213
42,-4.152,1.305
43,-0.292,0.352
44,-3.097,2.722
45,-0.208,0.463
46,-1.486,3.712
47,-0.181,0.565
48,-1.708,3.592
