 ,X,Y
1,0.051,0.752
2,0.234,4.135
3,0.254,0.731
4,1.951,3.474
5,0.406,0.559
6,2.875,3.312
7,0.528,0.488
8,3.403,2.316
9,0.599,0.345
10,3.830,2.012
11,0.589,0.203
12,3.871,1.361
13,0.538,0.010
14,3.911,-0.549
15,0.488,-0.173
16,3.840,-1.006
17,0.406,-0.254
18,3.383,-1.697
19,0.335,-0.305
20,2.144,-2.834
21,0.274,-0.376
22,0.823,-2.946
23,0.132,-0.406
24,0.102,-2.682
25,0.061,-0.417
26,-0.264,-2.743
27,-0.010,-0.396
28,-1.168,-2.804
29,-0.102,-0.356
30,-2.062,-2.641
31,-0.173,-0.284
32,-2.459,-2.662
33,-0.264,-0.203
34,-3.363,-1.951
35,-0.305,-0.132
36,-3.871,-1.036
37,-0.335,-0.020
38,-4.074,0.467
39,-0.325,0.142
40,-3.800,0.843
41,-0.345,0.366
42,-3.952,0.803
43,-0.345,0.528
44,-3.657,1.788
45,-0.264,0.731
46,-3.403,1.940
47,-0.122,0.792
48,-1.372,3.911
