 ,X,Y
1,0.034,0.917
2,0.376,4.639
3,0.171,0.821
4,2.347,4.515
5,0.253,0.725
6,4.112,3.708
7,0.390,0.493
8,5.562,0.301
9,0.623,0.260
10,5.685,-0.670
11,0.609,-0.109
12,4.591,-2.258
13,0.540,-0.465
14,3.893,-2.189
15,0.281,-0.602
16,2.757,-2.600
17,0.116,-0.712
18,2.032,-2.942
19,-0.062,-0.670
20,-0.883,-3.284
21,-0.171,-0.629
22,-1.279,-2.997
23,-0.281,-0.616
24,-1.717,-2.942
25,-0.376,-0.520
26,-2.032,-2.832
27,-0.568,-0.369
28,-3.797,-1.957
29,-0.650,-0.151
30,-4.659,-1.765
31,-0.540,0.205
32,-5.713,-0.096
33,-0.445,0.506
34,-5.056,2.176
35,-0.185,0.739
36,-3.961,3.380
37,-0.075,0.903
38,-2.141,4.488
