 ,X,Y
1,0.010,0.640
2,0.080,2.910
3,0.110,0.600
4,2.170,2.770
5,0.210,0.480
6,2.970,2.060
7,0.280,0.400
8,3.410,1.430
9,0.300,0.250
10,4.480,0.590
11,0.290,0.100
12,4.490,-0.630
13,0.290,-0.090
14,4.760,-1.370
15,0.240,-0.270
16,4.300,-1.710
17,0.150,-0.370
18,3.050,-2.640
19,0.067,-0.417
20,2.213,-2.550
21,-0.007,-0.450
22,0.893,-2.530
23,-0.087,-0.437
24,0.800,-2.583
25,-0.167,-0.410
26,-2.653,-1.690
27,-0.293,-0.360
28,-3.526,-0.893
29,-0.373,-0.253
30,-4.026,0.280
31,-0.380,-0.093
32,-4.626,0.400
33,-0.347,0.113
34,-4.600,1.320
35,-0.293,0.307
36,-3.680,0.927
37,-0.240,0.440
38,-3.313,2.300
39,-0.167,0.540
40,-2.620,2.793
41,-0.080,0.613
42,-1.440,3.180
