 ,X,Y
1,-0.121,0.834
2,-1.655,5.033
3,0.054,0.848
4,0.700,4.979
5,0.188,0.781
6,2.046,4.697
7,0.350,0.619
8,3.983,2.893
9,0.350,0.458
10,5.181,1.844
11,0.390,0.296
12,5.464,1.130
13,0.417,0.135
14,5.612,0.363
15,0.444,-0.040
16,6.056,0.161
17,0.458,-0.229
18,5.477,-0.996
19,0.484,-0.336
20,5.248,-0.821
21,0.471,-0.471
22,4.010,-0.781
23,0.350,-0.565
24,3.499,-2.167
25,0.148,-0.606
26,0.431,-3.553
27,-0.013,-0.646
28,-1.319,-3.512
29,-0.202,-0.632
30,-2.530,-3.297
31,-0.336,-0.579
32,-3.082,-2.826
33,-0.444,-0.431
34,-3.728,-2.772
35,-0.484,-0.323
36,-5.181,-1.238
37,-0.471,-0.161
38,-4.845,-0.444
39,-0.498,-0.013
40,-5.127,-0.538
41,-0.444,0.175
42,-4.979,-0.013
43,-0.458,0.363
44,-4.750,1.332
45,-0.377,0.498
46,-3.876,3.257
47,-0.310,0.673
48,-2.624,4.158
